"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#22206"|"20383317"|"00000000000000217719"|"201705005000028"|"20170102"|"1"|"RB3A013435"|"ELODIE DETAILS-103615-Borsa Fasciatoio Woodland Green"|"0000000001"|"0000120.86"
"#22135"|"20384317"|"00000000000000217709"|"201705005000041"|"20170102"|"1"|"RB3A012557"|"ELODIE DETAILS-103417-Bavaglino Oro"|"0000000001"|"0000114.42"
"#22135"|"20384317"|"00000000000000217709"|"201705005000041"|"20170102"|"2"|"RB3A010035"|"CHILDHOME-CWRHW-Cavallo a Dondolo Bianco"|"0000000001"|"0000114.42"
"#21960"|"20385317"|"00000000000000217699"|"201705005000039"|"20170102"|"1"|"RB2000P1"|"ELODIE DETAILS-103844-Cesto Contenitore Bianco e Nero Graphic Grace"|"0000000001"|"0000000.00"
"#22169"|"20386317"|"00000000000000217799"|"201705005000026"|"20170102"|"1"|"RB3A015474"|"MUMLA-KROM_GRA_M-Set letto reversibile Gocce di Pioggia menta 100x135"|"0000000001"|"0000000.00"
"#22169"|"20386317"|"00000000000000217799"|"201705005000026"|"20170102"|"2"|"RB3A015623"|"MUMLA-PZO_SZA_M-Set letto reversibile Ombrelli gialli 100x135"|"0000000001"|"0000000.00"
"#21932"|"20387317"|"00000000000000217739"|"201705005000034"|"20170102"|"1"|"RB3A013442"|"ELODIE DETAILS-103666-Trousse ZipeGo Graphic Devotion"|"0000000001"|"0000000.00"
"#22323"|"20388317"|"00000000000000217729"|"201705005000027"|"20170102"|"1"|"RB3A013435"|"ELODIE DETAILS-103615-Borsa Fasciatoio Woodland Green"|"0000000001"|"0000000.00"
"#21641"|"20389317"|"00000000000000217749"|"201705005000025"|"20170102"|"1"|"RB3A014430"|"TOBY TIGER-LSADOG-Maglia Maniche Lunghe Cane 1-2 anni"|"0000000001"|"0000000.00"
"#21641"|"20389317"|"00000000000000217749"|"201705005000025"|"20170102"|"2"|"RB3A014515"|"TOBY TIGER-LSAPAPP-Maglia Maniche Lunghe Mela 1-2 anni"|"0000000001"|"0000000.00"
"#21300"|"20390317"|"00000000000000217769"|"201705005000037"|"20170102"|"2"|"RB3A015052"|"TOBY TIGER-LSBGBOLD-Set di 2 Body maniche lunghe a righe rosse e blu con toppe 3-6 mesi"|"0000000001"|"0000000.00"
"#21666"|"20391317"|"00000000000000217759"|"201705005000038"|"20170102"|"2"|"RB3A014533"|"TOBY TIGER-SLAYDUCK-Pigiamino lungo a righe Anatroccoli 3-6 mesi"|"0000000001"|"0000000.00"
"#21666"|"20391317"|"00000000000000217759"|"201705005000038"|"20170102"|"3"|"RB3A015034"|"TOBY TIGER-SLOGIRSTR-Tutina pigiamino a righe bambina 3-6 mesi"|"0000000001"|"0000000.00"
"#22079"|"20392317"|"00000000000000217789"|"201705005000036"|"20170102"|"3"|"RB3A015363"|"MINIROOM-17759Grigio-Miniatura Pupazzo Little Bunny Grigio"|"0000000001"|"0000000.00"
"#21524"|"20393317"|"00000000000000217779"|"201705005000031"|"20170102"|"3"|"RB3A015067"|"TOBY TIGER-SLAMTREX-Tutina pigiamino T-REX 3-6 mesi"|"0000000001"|"0000000.00"
