"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#27371"|"25094317"|"00000000000000268169"|"201705005143673"|"20170406"|"1"|"RB3A014098"|"NIKE-454501-PICO 4 (TDV) NERA 5C-EU21"|"0000000001"|"0000033.80"
"#27365"|"25095317"|"00000000000000267849"|"201705005144293"|"20170406"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000025.86"
"#27353"|"25096317"|"00000000000000268509"|"201705005144716"|"20170406"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#27329"|"25097317"|"00000000000000268479"|"201705005144773"|"20170406"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000002"|"0000021.70"
"#27327"|"25098317"|"00000000000000267889"|"201705005143998"|"20170406"|"1"|"RB3A009314"|"ROCKETBABY-RBP15100303-Cesto per Passeggino Riccio"|"0000000001"|"0000045.72"
"#27327"|"25098317"|"00000000000000267889"|"201705005143998"|"20170406"|"2"|"RB3A016477"|"ROCKETBABY-RBP16362-Cesto Passeggino Pecora"|"0000000001"|"0000045.72"
"#27322"|"25099317"|"00000000000000268359"|"201705005143538"|"20170406"|"1"|"RB3A015199"|"INNOBABY-IN-AQ-F01-Innobaby - AquaHeat Food Warmer - SOLO - 16 oz"|"0000000001"|"0000044.86"
"#26997A"|"25100317"|"00000000000000268089"|"201705005143806"|"20170406"|"1"|"RB3A011311"|"KANGA CARE-KC-C4025SP-Pannolino Rumparooz Quinn"|"0000000001"|"0000035.67"
"#27117"|"25101317"|"00000000000000268099"|"201705005143828"|"20170406"|"1"|"RB3A011311"|"KANGA CARE-KC-C4025SP-Pannolino Rumparooz Quinn"|"0000000001"|"0000038.86"
"#27045"|"25102317"|"00000000000000268589"|"201705005144701"|"20170406"|"1"|"RB3A018610"|"BOON-B11177-Pulp Mangiafrutta Dentaruolo Arancione e Azzurro"|"0000000001"|"0000017.86"
