"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
""|"2425217"|"20170301"|"20170301"|""|"00000000"|"FO20170214_PO31766"|"Me1St"|"RB3A015515"|"ME1ST-HMTK LILLACH/PURPLE-Babbucce lilla e viola 37/38"|"0000000000"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017435"|"EFFII-5901832944331-Sciarpa Grigia A Pois Bianchi"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017457"|"EFFII-5901832942108-Cuffia Neonato Grigia Con Cuore Bianco 0-1 mese"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017461"|"EFFII-5901832942825-Cuffia Neonato Bianca Con Pois Grigi 0-1 mese"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017469"|"EFFII-5901832944904-Cuffia Neonato Blu Con Cuore 0-1 mese"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017474"|"EFFII-5901832944997-Cuffia Neonato Verde Menta Con Cuore 1-3 mesi"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017481"|"EFFII-5901832940906-Cuscino Allattamento Luna Bianco XXL"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017485"|"EFFII-5901832944669-Cuscino Allattamento Luna Blu XXL"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017487"|"EFFII-5901832944676-Cuscino Allattamento Luna Cipria XXL"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017488"|"EFFII-5901832944645-Cuscino Luna Cipria S"|"0000000002"|"0000000002"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017490"|"EFFII-5901832944652-Cuscino Luna Verde Menta S"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017500"|"EFFII-5901832945222-Sciarpa Di Cachemire Silver Con Pom Pom L 100cm"|"0000000001"|"0000000001"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017508"|"EFFII-5901832945307-Berretto Di Cachemire Con Orecchie Silver L-48cm"|"0000000002"|"0000000002"
"PO31790"|"2428217"|"20170301"|"20170301"|"PO31790"|"20170222"|"FO20170222_PO31790"|"Effii"|"RB3A017511"|"EFFII-5901832945338-Berretto Di Cachemire Con Orecchie Grigio L-48cm"|"0000000001"|"0000000001"
