"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#26287"|"23969317"|"00000000000000256129"|"201705005116570"|"20170317"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#26277"|"23970317"|"00000000000000255829"|"201705005116007"|"20170317"|"1"|"RB3A016477"|"ROCKETBABY-RBP16362-Cesto Passeggino Pecora"|"0000000001"|"0000031.86"
"#26273"|"23971317"|"00000000000000255699"|"201705005115802"|"20170317"|"1"|"RB3A014016"|"NIKE-454478-PICO 4 (TDV) ROSA 2C-EU17"|"0000000001"|"0000033.80"
"#26270"|"23972317"|"00000000000000255919"|"201705005116094"|"20170317"|"1"|"RB3A017797"|"A LITTLE LOVELY COMPANY-BGBL004-Backpack Cloud blue"|"0000000001"|"0000047.72"
"#26270"|"23972317"|"00000000000000255919"|"201705005116094"|"20170317"|"2"|"RB3A017796"|"A LITTLE LOVELY COMPANY-BGMS005-Backpack Miss Sunshine"|"0000000001"|"0000047.72"
"#26262"|"23973317"|"00000000000000255869"|"201705005116127"|"20170317"|"1"|"RB3A018643"|"MIMIJUMI-85306400202-Biberon Mimijumi Piccolo 120 ml"|"0000000002"|"0000047.72"
"#26255"|"23974317"|"00000000000000255859"|"201705005116008"|"20170317"|"1"|"RB3A018635"|"LITTLELIFE-L10238-Zaino Littlelife 1-3 anni Tartaruga"|"0000000001"|"0000042.80"
"#26245"|"23975317"|"00000000000000255769"|"201705005116157"|"20170317"|"1"|"RB3A015201"|"INNOBABY-IN-AQ-H01-Innobaby - AquaHeat - WARM Heat Pack - set of 6"|"0000000001"|"0000058.92"
"#26245"|"23975317"|"00000000000000255769"|"201705005116157"|"20170317"|"2"|"RB3A015198"|"INNOBABY-IN-AQ-B01-Innobaby - AquaHeat 10oz Stainless Bottle e Warmer"|"0000000001"|"0000058.92"
"#26238"|"23976317"|"00000000000000255459"|"201705005115766"|"20170317"|"1"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000001"|"0000057.72"
