"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO31653"|"2207217"|"20170130"|"20170130"|"PO31653"|"20170118"|"FO20170118_PO31653"|"Sebra"|"RB3A015288"|"SEBRA-3005301-Carrozzina in legno per le bambole grigia"|"0000000002"|"0000000002"
"PO31655"|"2208217"|"20170130"|"20170130"|"PO31655"|"20170119"|"FO20170119_PO31655"|"4Moms"|"RB3A015252"|"4MOMS-MO0150010306 -Sdraietta Elettrica Mamaroo Silver"|"0000000001"|"0000000001"
"PO31663"|"2209217"|"20170130"|"20170130"|"PO31663"|"20170120"|"FO20170120_PO31663"|"4Moms"|"RB3A015256"|"4MOMS-MO0150053290 -Sdraietta Elettrica BounceRoo Multi"|"0000000001"|"0000000001"
"PO31672"|"2212217"|"20170130"|"20170130"|"PO31672"|"20170123"|"FO20170123_PO31672"|"Yookidoo"|"RB3A017754"|"YOOKIDOO-YKD40125-Discovery Play Mat"|"0000000004"|"0000000004"
"PO31672"|"2212217"|"20170130"|"20170130"|"PO31672"|"20170123"|"FO20170123_PO31672"|"Yookidoo"|"RB3A017755"|"YOOKIDOO-YKD40126-Gymotion Activity PlayLand"|"0000000004"|"0000000004"
"PO31672"|"2212217"|"20170130"|"20170130"|"PO31672"|"20170123"|"FO20170123_PO31672"|"Yookidoo"|"RB3A017756"|"YOOKIDOO-YKD40127-Gymotion Tummy PlayLand"|"0000000006"|"0000000006"
"PO31672"|"2212217"|"20170130"|"20170130"|"PO31672"|"20170123"|"FO20170123_PO31672"|"Yookidoo"|"RB3A017757"|"YOOKIDOO-YKD40128-Gymotion Robo Playland"|"0000000012"|"0000000012"
"PO31673"|"2211217"|"20170130"|"20170130"|"PO31673"|"20170123"|"FO20170123_PO31673"|"Baghera"|"RB3A012778"|"BAGHERA-LPN878-Macchinina Speedster Plane"|"0000000001"|"0000000001"
"PO31680"|"2206217"|"20170130"|"20170130"|"PO31680"|"20170123"|"FO20170123_PO31680"|"Miniroom"|"RB3A015267"|"MINIROOM-MR-MO-001-Zainetto Little Bunny Grigio"|"0000000005"|"0000000005"
"PO31685"|"2210217"|"20170130"|"20170130"|"PO31685"|"20170125"|"FO20170125_PO31685"|"IIAMO"|"RB3A015734"|"IIAMO-601-Biberon autoriscaldante da casa bianco e rosa"|"0000000006"|"0000000006"
"PO31685"|"2210217"|"20170130"|"20170130"|"PO31685"|"20170125"|"FO20170125_PO31685"|"IIAMO"|"RB3A015737"|"IIAMO-604-Biberon autoriscaldante da casa bianco e blu"|"0000000006"|"0000000006"
"PO31685"|"2210217"|"20170130"|"20170130"|"PO31685"|"20170125"|"FO20170125_PO31685"|"IIAMO"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000030"|"0000000030"
"PO31685"|"2210217"|"20170130"|"20170130"|"PO31685"|"20170125"|"FO20170125_PO31685"|"IIAMO"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000048"|"0000000048"
"PO31685"|"2210217"|"20170130"|"20170130"|"PO31685"|"20170125"|"FO20170125_PO31685"|"IIAMO"|"RB3A015746"|"IIAMO-305-Tettarella biberon autoriscaldante da 0 o 3 o 6 mesi"|"0000000012"|"0000000012"
