"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32001"|"2763217"|"20170419"|"20170420"|"PO32001"|"20170403"|"FO20170403_PO32001"|"BS"|"RB3A018736"|"BS-BTSGA196-Gioco BS XXL Bubbles"|"0000000002"|"0000000004"
"PO32001"|"2763217"|"20170419"|"20170420"|"PO32001"|"20170403"|"FO20170403_PO32001"|"BS"|"RB3A018739"|"BS-BTSGA263-Gioco BS Nought e Crosses"|"0000000001"|"0000000001"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018723"|"BS-BTSGA014-Gioco BS Big Poles"|"0000000000"|"0000000001"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018724"|"BS-BTSGA015-Gioco BS Waterball"|"0000000000"|"0000000001"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018725"|"BS-BTSGA022-Gioco BS Octopus waterparty"|"0000000000"|"0000000008"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018726"|"BS-BTSGA028-Gioco BS Jumping Bags"|"0000000000"|"0000000005"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018728"|"BS-BTSGA054-Gioco BS Giant Card Game"|"0000000000"|"0000000002"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018729"|"BS-BTSGA088-Gioco BS Darts"|"0000000000"|"0000000001"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018730"|"BS-BTSGA093-Gioco BS Tin throwing"|"0000000000"|"0000000003"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018731"|"BS-BTSGA122-Gioco BS Crocket"|"0000000000"|"0000000002"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018732"|"BS-BTSGA133-Gioco BS Parachute"|"0000000000"|"0000000001"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018733"|"BS-BTSGA134-Gioco BS Giant Ball"|"0000000000"|"0000000003"
"PO32034"|"2762217"|"20170419"|"20170420"|""|"00000000"|"FO20170410_PO32034"|"BS"|"RB3A018735"|"BS-BTSGA159-Gioco BS World Game"|"0000000000"|"0000000003"
"PO32034"|"2762217"|"20170419"|"20170420"|"PO32034"|"20170410"|"FO20170410_PO32034"|"BS"|"RB3A018736"|"BS-BTSGA196-Gioco BS XXL Bubbles"|"0000000004"|"0000000002"
