"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#24471"|"22158317"|"00000000000000236399"|"201705005048677"|"20170201"|"1"|"RB3A015737"|"IIAMO-604-Biberon autoriscaldante da casa bianco e blu"|"0000000001"|"0000019.86"
"#24458"|"22159317"|"00000000000000236049"|"201705005048260"|"20170201"|"1"|"RB3A007768"|"SPUGNOTTO-Spugnotto Giallo e Rosa"|"0000000001"|"0000026.86"
"#24450"|"22160317"|"00000000000000236619"|"201705005048921"|"20170201"|"1"|"RB3A014891"|"ROCKETBABY-RBP16333-Scatola Portagiochi Flamingo"|"0000000001"|"0000129.12"
"#24450"|"22160317"|"00000000000000236619"|"201705005048921"|"20170201"|"2"|"RB3A014894"|"ROCKETBABY-RBP16336-Scatola Portagiochi Balena"|"0000000001"|"0000129.12"
"#24450"|"22160317"|"00000000000000236619"|"201705005048921"|"20170201"|"3"|"RB3A014893"|"ROCKETBABY-RBP16335-Scatola Portagiochi Leone"|"0000000001"|"0000129.12"
"#24450"|"22160317"|"00000000000000236619"|"201705005048921"|"20170201"|"4"|"RB3A014889"|"ROCKETBABY-RBP16331-Cesto Portagiochi Pulcino"|"0000000001"|"0000129.12"
"#24450"|"22160317"|"00000000000000236619"|"201705005048921"|"20170201"|"5"|"RB3A014890"|"ROCKETBABY-RBP16332-Cesto Portagiochi Elefante"|"0000000001"|"0000129.12"
"#24443"|"22161317"|"00000000000000236409"|"201705005048664"|"20170201"|"1"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000026.86"
"#24441"|"22162317"|"00000000000000236429"|"201705005048596"|"20170201"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000003"|"0000028.65"
"#24440"|"22163317"|"00000000000000236419"|"201705005048663"|"20170201"|"1"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000026.86"
