"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32171"|"2975217"|"20170518"|"20170518"|"PO32171"|"20170502"|"FO20170502_PO32171"|"Tattou"|"RB3A019676"|"TATTOU-555005-Baby Proiettore Tio"|"0000000001"|"0000000001"
"PO32171"|"2975217"|"20170518"|"20170518"|"PO32171"|"20170502"|"FO20170502_PO32171"|"Tattou"|"RB3A019678"|"TATTOU-555203-Baby Webcam con Proiettore Pio"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013015"|"BAMBOOM-104-005-004-COSY SQUARE Maternity and Breastfeeding pillow ROSA"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013040"|"BAMBOOM-104-900-009-GIOCHI SQUARE CUORE Decoration Pillow VERDE BOTTIGLIA"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013057"|"BAMBOOM-104-000-004-AUTO FRESH MINI - carseat cover group 0+ GRIGIO-0"|"0000000002"|"0000000002"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013058"|"BAMBOOM-104-000-028-AUTO FRESH BIMBO - carseat cover group 1 GRIGIO-0"|"0000000001"|"0000000005"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013065"|"BAMBOOM-104-108-035-BAGNO DUO MUSLIN Hooded towel + wash glove STRISCE BLU-0"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013072"|"BAMBOOM-104-108-002-BAGNO DUO SQUARE Hooded towel + wash glove BIANCO E GRIGIO-0"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013131"|"BAMBOOM-104-000-117-BODY Short sleeves (front opening) BIANCO-TAGLIA-3M"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013145"|"BAMBOOM-104-003-002-CAMBIO COVER SQUARE - Changing mat elastic 50x70cm GRIGIO CHIARO-0"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013156"|"BAMBOOM-104-000-060-CAPPELLINO BIMBO baby hat ROSA E GRIGIO-TAGLIA-3-6M"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013198"|"BAMBOOM-104-037-009-HOODIE CAP SMALL VERDE-TAGLIA-Small 1-3M"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013227"|"BAMBOOM-104-036-001-JUMPSUIT PURE 3M BIANCO-TAGLIA-3M"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013239"|"BAMBOOM-104-036-009-JUMPSUIT PURE 3M VERDE-TAGLIA-3M"|"0000000002"|"0000000002"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013304"|"BAMBOOM-104-008-008-PLAYPEN MAT/ TAPPETO GIOCO SQUARE 80x95cmSABBIA CHIARO-0"|"0000000001"|"0000000001"
"PO32213"|"2976217"|"20170517"|"20170518"|"PO32213"|"20170508"|"FO20170508_PO32213"|"Bamboom"|"RB3A013362"|"BAMBOOM-104-044-002-TWIN SET 3M PURE Wrap-shirtetrousers in velvet soft jersey GRIGIO-TAGLIA-3M"|"0000000001"|"0000000001"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018622"|"CHEEKY CHOMPERS-CC001-Bavaglino a Bandana con Gioco per la Dentizione Incorporato Preppy Stripes"|"0000000005"|"0000000005"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018623"|"CHEEKY CHOMPERS-CC003-Bavaglino a Bandana con Gioco per la Dentizione Incorporato Royal Chic"|"0000000010"|"0000000010"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018624"|"CHEEKY CHOMPERS-CC009-Bavaglino a Bandana con Gioco per la Dentizione Incorporato Twinkle Twinkle"|"0000000010"|"0000000010"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018625"|"CHEEKY CHOMPERS-CC024-Bavaglino a Bandana con Gioco per la Dentizione Incorporato Red Stars"|"0000000005"|"0000000005"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018626"|"CHEEKY CHOMPERS-CC016-Bavaglino a Bandana con Gioco per la Dentizione Incorporato Ditsy"|"0000000005"|"0000000005"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018628"|"CHEEKY CHOMPERS-CC035-DouDou con Giochino per la Dentizione Incorporato Polka Dot Pink"|"0000000005"|"0000000005"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018629"|"CHEEKY CHOMPERS-CC034-DouDou con Giochino per la Dentizione Incorporato Twinkle Twinkle"|"0000000010"|"0000000010"
"PO32229"|"2973217"|"20170518"|"20170518"|"PO32229"|"20170511"|"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018630"|"CHEEKY CHOMPERS-CC040-DouDou con Giochino per la Dentizione Incorporato Red Stars"|"0000000005"|"0000000005"
"PO32234"|"2974217"|"20170518"|"20170518"|"PO32234"|"20170511"|"FO20170511_PO32234"|"Totseat"|"RB3A012428"|"TOTSEAT-TOTSZES-Seggiolone da viaggio compact Grigio"|"0000000003"|"0000000003"
"PO32234"|"2974217"|"20170518"|"20170518"|"PO32234"|"20170511"|"FO20170511_PO32234"|"Totseat"|"RB3A012429"|"TOTSEAT-TOTSBLU-Seggiolone da viaggio compact Blu"|"0000000003"|"0000000003"
"PO32234"|"2974217"|"20170518"|"20170518"|"PO32234"|"20170511"|"FO20170511_PO32234"|"Totseat"|"RB3A012430"|"TOTSEAT-TOTSCHO-Seggiolone da viaggio compact Marrone"|"0000000003"|"0000000003"
"PO32234"|"2974217"|"20170518"|"20170518"|"PO32234"|"20170511"|"FO20170511_PO32234"|"Totseat"|"RB3A019674"|"TOTSEAT-TOTSDEN-Seggiolone da Viaggio Denim"|"0000000005"|"0000000005"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009486"|"HOBEA-4260329471776-Babbucce Cinghiale Wutzi 30-36 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009518"|"HOBEA-4260329471387-Babbucce Pirata Verdi 12-18 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009523"|"HOBEA-4260329471332-Babbucce Pinguino 12-18 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009553"|"HOBEA-4260329471134-Babbucce Pesce 12-18 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009635"|"HOBEA-4260329478324-Babbucce Pirata Nere 24-30 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009689"|"HOBEA-4057257000808-Babbucce Mucca 18-24 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009700"|"HOBEA-4057257000761-Babbucce Polizia 24-30 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009719"|"HOBEA-4057257000907-Babbucce Cupcake 18-24 Mesi"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009732"|"HOBEA-4260329478737-Cuscino da allattamento Grigio con Gufetti"|"0000000002"|"0000000002"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A009828"|"HOBEA-4260329478959-Copertura ricambio Rosa con Gufi per Cuscino allattamento"|"0000000001"|"0000000001"
"PO32247"|"2978217"|"20170518"|"20170518"|"PO32247"|"20170512"|"FO20170512_PO32247"|"Hobea"|"RB3A013380"|"HOBEA-4057257002598-Babbucce Uccellini 18-24 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010414"|"KUK-FP225-06-Pigiama Balena Blu 3-6 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010417"|"KUK-FP228-06-Pigiama Balena Rosa 3-6 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010418"|"KUK-FP228-12-Pigiama Balena Rosa 6-12 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010459"|"KUK-FF125-06-Pigiama con piedini Balena Blu 3-6 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010542"|"KUK-FS325-03-Body Manica corta Balena Blu 0-3 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010555"|"KUK-FS374-06-Body Manica corta Foglie Grigio 3-6 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010561"|"KUK-FS338-06-Body Manica corta Elefante Blu 3-6 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010589"|"KUK-FC628-03-Cardigan Balena Rosa 0-3 mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A010939"|"KUK-F110-28-Set 2 Teli Multiuso Balena Rosa 120x120"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018245"|"KUK-F420-26-Accappatoio con Balena Grigio"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018277"|"KUK-FS352-03-Body Manica corta con  Farfallini Blu-0-3 Mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018331"|"KUK-FZ658-12-Tutina Corta per l'Estate con Ananas Antracite-6-12 Mesi"|"0000000002"|"0000000002"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018334"|"KUK-FZ654-12-Tutina Corta per l'Estate Giallo Vintage-6-12 Mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018368"|"KUK-FF126-06-Tutina con piedini con Balena Grigia-3-6 Mesi"|"0000000001"|"0000000001"
"PO32249"|"2979217"|"20170518"|"20170518"|"PO32249"|"20170512"|"FO20170512_PO32249"|"KUK"|"RB3A018381"|"KUK-F110-71-Set 2 Teli Multiuso  Foglie Menta 120 x 120-120 x 120 cm"|"0000000002"|"0000000002"
"PO32251"|"2977217"|"20170518"|"20170518"|"PO32251"|"20170512"|"FO20170512_PO32251"|"Lollipops and More"|"RB3A018667"|"LOLLIPOPS AND MORE-2952349927679-Lollipops and More Pacifier Star Dust Clip Pastel Pink"|"0000000002"|"0000000002"
"PO32251"|"2977217"|"20170518"|"20170518"|"PO32251"|"20170512"|"FO20170512_PO32251"|"Lollipops and More"|"RB3A018669"|"LOLLIPOPS AND MORE-2952349927211-Lollipops and More Jelly Belly Bracelet Violet Red"|"0000000002"|"0000000002"
"PO32251"|"2977217"|"20170518"|"20170518"|"PO32251"|"20170512"|"FO20170512_PO32251"|"Lollipops and More"|"RB3A018670"|"LOLLIPOPS AND MORE-2952349927228-Lollipops and More Jelly Belly Bracelet Turquoise"|"0000000002"|"0000000002"
"PO32251"|"2977217"|"20170518"|"20170518"|"PO32251"|"20170512"|"FO20170512_PO32251"|"Lollipops and More"|"RB3A018671"|"LOLLIPOPS AND MORE-2952349927273-Lollipops and More Gummi Bear Bracelet Turquoise"|"0000000003"|"0000000003"
"PO32251"|"2977217"|"20170518"|"20170518"|"PO32251"|"20170512"|"FO20170512_PO32251"|"Lollipops and More"|"RB3A018741"|"LOLLIPOPS AND MORE-2952349927624-Lollipops and More Pacifier Tootzie Roll Clip Grey Green"|"0000000002"|"0000000002"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A018839"|"NOPPIES-74344_C166-Noppies Salopette a Righe Blu Navy e Grigio con Body Baby-50 cm"|"0000000001"|"0000000001"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A018964"|"NOPPIES-74346_C140-Noppies Cappello da Sole Blu con Squali Baby-6-12 Mesi"|"0000000002"|"0000000002"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A019214"|"NOPPIES-75255-Noppies Salopette a Pois Bianca Kids-92"|"0000000001"|"0000000001"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A019533"|"NOPPIES-63919_C270-Noppies Tankini top Premamam Mallorca-XS-S"|"0000000001"|"0000000001"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A019537"|"NOPPIES-63928_C270-Noppies Costume da Bagno Intero Premamam Dot-M-L"|"0000000001"|"0000000001"
"PO32254"|"2980217"|"20170518"|"20170518"|"PO32254"|"20170512"|"FO20170512_PO32254"|"NOPPIES"|"RB3A019553"|"NOPPIES-75364_C095-Noppies Costume da Bagno Intero con Banane Kids-86"|"0000000001"|"0000000001"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB2000Z2"|"Play e go-DIAMOND_GREEN-Sacco Portagiochi a Quadretti Bianco e Verde Chiaro"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB2000Z3"|"Play e go-DIAMOND_PINK-Sacco Portagiochi a Quadretti Bianco e Rosa"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB2000ZC"|"Play e go-ANCHOR_BLUE-Sacco Portagiochi Ancore"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A009287"|"PLAY e GO-designer_panda-Sacco Portagiochi Panda"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A009288"|"PLAY e GO-designer_superhero-Sacco Portagiochi Superhero"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A010095"|"PLAY e GO-diamonds_grey-Sacco Portagiochi a Quadretti Bianco e Grigio"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A010097"|"PLAY e GO-football-Sacco Portagiochi Pallone da Calcio"|"0000000002"|"0000000002"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A011907"|"PLAY e GO-flamingo-Sacco Portagiochi Flamingo"|"0000000006"|"0000000006"
"PO32258"|"2982217"|"20170518"|"20170518"|"PO32258"|"20170515"|"FO20170515_PO32258"|"play e go"|"RB3A014990"|"PLAY e GO-Roadmap-Sacco Portagiochi Circuito"|"0000000010"|"0000000010"
