SpeNumeroOrdine|SpeNumeroProtocollo|SpeEtichettaCollo|SpeTrackingNumero|SpeDataImport|SpeRigaOrdine|SpeArtCodice|SpeArtDescrizione|SpeArtQta|COD
#30546|29685317|321949|30546|20170614|1|RB3A012858|BUDDY AND BEAR-BBTW029-Bicchierino orsetto|1|0
#30546|29685317|321949|30546|20170614|10|RB3A019662|FUNKIT WORLD-SMR-92-Funkit World Sacca da Spiaggia in Silicone Rosa|1|0
#30546|29685317|321949|30546|20170614|11|RB3A020719|DRINK IN THE BOX-1908PKPM-Borraccia con Cannuccia Integrata 235 ml Rosa|1|0
#30546|29685317|321949|30546|20170614|12|RB3A020727|DRINK IN THE BOX-1901PKPM-Snack Box 355 ml Rosa|1|0
#30546|29685317|321949|30546|20170614|13|RB3A020726|DRINK IN THE BOX-1901GRPM-Snack Box 355 ml Verde|1|0
#30546|29685317|321949|30546|20170614|14|RB3A020718|DRINK IN THE BOX-1908GRPM-Borraccia con Cannuccia Integrata 235 ml Verde|1|0
#30546|29685317|321949|30546|20170614|15|RB3A019775|SIPSNAP-KID-RiseNShine-KID Rise'n'shine|1|0
#30546|29685317|321949|30546|20170614|16|RB3A020729|DRINK IN THE BOX-1908ICE-Panetto di Ghiaccio per Borraccia 235 ml|2|0
#30546|29685317|321949|30546|20170614|2|RB3A019457|FUNKY BOX-FBTG09-Porta Salviettine Umidificate da Viaggio Funky Box Bianco con Stella Argento|1|0
#30546|29685317|321949|30546|20170614|3|RB3A019773|SUAVINEX-QS005DR03-DUCCIO STERILIZZACIUCCIO ROSSO|1|0
#30546|29685317|321949|30546|20170614|4|RB3A019873|SKIP HOP-252328-Bottiglia da Viaggio con cannuccia-FARFALLA|1|0
#30546|29685317|321949|30546|20170614|5|RB3A019653|FUNKIT WORLD-SBU-06-Funkit World Secchiello da Spiaggia in Silicone Viola|1|0
#30546|29685317|321949|30546|20170614|6|RB3A019656|FUNKIT WORLD-SSP-53-Funkit World Paletta per la Sabbia in Silicone Viola|1|0
#30546|29685317|321949|30546|20170614|7|RB3A019654|FUNKIT WORLD-SMO-41-Funkit World Formine per la Sabbia in Silicone Blu|1|0
#30546|29685317|321949|30546|20170614|8|RB3A019652|FUNKIT WORLD-SBU-05-Funkit World Secchiello da Spiaggia in Silicone Rosa|1|0
#30546|29685317|321949|30546|20170614|9|RB3A019658|FUNKIT WORLD-SSP-55-Funkit World Paletta per la Sabbia in Silicone Rosa|1|0
#30533|29687317|321949|30533|20170614|1|RB3A018393|A LITTLE LOVELY COMPANY-LTST049-Lucine LED Colorate Stelline Pastello|1|0
#30533|29687317|321949|30533|20170614|2|RB3A019671|BUBBLEGUM STUFF-14052-Bubblegum Stuff Babychino Sippy Cup|1|0
#30533|29687317|321949|30533|20170614|3|RB3A011306|KANGA CARE-KC-KRRUMPSOS-P117-Pannolino Rumparooz Clyde|1|0
#30533|29687317|321949|30533|20170614|4|RB3A011907|PLAY e GO-flamingo-Sacco Portagiochi Flamingo|1|0
#31879|30935317|334349|31879|20170630|1|RB3A010040|CHILDHOME-CWRSMB-Dondolo a forma di Vespa Blu Menta|1|0
#32731|30903317|334989|32731|20170630|1|RB3A018741|LOLLIPOPS AND MORE-2952349927624-Lollipops and More Pacifier Tootzie Roll Clip Grey Green|1|0
#32731|30903317|334989|32731|20170630|2|RB3A019849|SKIP HOP-235465-Moby Smart Vasca da Bagno - COLORE UNICO|1|0
#23065|20697317|221089|23065|20170105|1|RB3A015626|JET KIDS- BEDBOX RED-Lettino da viaggio treno e aereo rosso|1|0
#23246|20852317|221569|23246|20170109|1|RB3A008970|TYRRELL KATZ-Bicchiere con manici motori|1|0
#23246|20852317|221569|23246|20170109|2|RB3A008991|TYRRELL KATZ-Bavaglino motori|1|0
#23246|20852317|221569|23246|20170109|3|RB3A008903|TYRRELL KATZ-Lunch Box motori|1|0
#23246|20852317|221569|23246|20170109|4|RB3A011120|TYRRELL KATZ-59LU2-Lunch Bag Motori|1|0
#23246|20852317|221569|23246|20170109|5|RB3A008933|TYRRELL KATZ-Ciotola motori|1|0
#23137|20869317|222389|23137|20170109|1|RB3A015626|JET KIDS- BEDBOX RED-Lettino da viaggio treno e aereo rosso|1|0
#23317|20952317|223179|23317|20170110|1|RB3A015627|JET KIDS- BEDBOX BLUE-Lettino da viaggio treno e aereo blu|1|0
#23975|21743317|231379|23975|20170124|1|RB3A014986|AQUASCALE-94032080-Supporto per vaschetta digitale|1|0
#23975|21743317|231379|23975|20170124|2|RB3A014985|AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata|1|0
#24336|22566317|239849|24336|20170210|1|RB3A011137|ROCKETBABY-RBP16306-Cesto Contenitore ZigZag Verde|1|0
