"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"RESO ORD. 19103"|"1955217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB20006J"|"FCTRY-pcsta01-Ciuccio Gentleman"|"0000000000"|"0000000001"
"RESO ORD. 19103"|"1955217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A012563"|"ELODIE DETAILS-103366-Cappellino Gilded Grey 2-3 anni"|"0000000000"|"0000000001"
"RESO ORD. 19103"|"1955217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013645"|"BLADEeROSE-5060257461943-Leggings Fire engine 2-3y"|"0000000000"|"0000000001"
"RESO ORD. 19103"|"1955217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013904"|"BLADEeROSE-5060257465583-Leggings Rudolf  3-4y"|"0000000000"|"0000000001"
"RESO ORD. 19135"|"1961217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013571"|"BLADEeROSE-5060257465750-Leggings Crazy Cat 0-6m"|"0000000000"|"0000000001"
"RESO ORD. 19135"|"1961217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013752"|"BLADEeROSE-5060257465804-Leggings Oheo Owl 0-6m"|"0000000000"|"0000000001"
"RESO ORD. 19135"|"1961217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013951"|"BLADEeROSE-5060257460083-Leggings Strawberry 0-6m"|"0000000000"|"0000000001"
"RESO ORD. 19441"|"1943217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A013378"|"HOBEA-4057257002574-Babbucce Uccellini 6-12 mesi"|"0000000000"|"0000000001"
"RESO ORD. 19673"|"1950217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A010050"|"CHILDHOME-CHTRRL-Trolley Giallo Procione"|"0000000000"|"0000000001"
"RESO ORD. 19713"|"1944217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A014501"|"TOBY TIGER-SNOWCROC-Tuta Da Sci Coccodrillo 12-18 mesi"|"0000000000"|"0000000001"
"RESO ORD. 19871"|"1956217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A009633"|"HOBEA-4260329478300-Babbucce Pirata Nere 12-18 Mesi"|"0000000000"|"0000000001"
"RESO ORD. 19921A"|"1946217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A017387"|"KAISER-6570826-Sacco passeggino khaki 105x48"|"0000000000"|"0000000001"
"RESO ORD. 19926"|"1954217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A014100"|"NIKE-454501-PICO 4 (TDV) NERA 6C-EU22"|"0000000000"|"0000000001"
"RESO ORD. 19960"|"1957217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015258"|"4MOMS-MO0150049090 -Riduttore Sdraietta Elettrica"|"0000000000"|"0000000001"
"RESO ORD. 20018"|"1960217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A011010"|"STUDIO ROOF-CAS3-Casetta Gioco Cabana Deco XXL"|"0000000000"|"0000000001"
"RESO ORD. 20211"|"1953217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000000"|"0000000001"
"RESO ORD. 20235"|"1945217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015641"|"KAISER-742700418-Mocassini neonato beige pelle di agnello 17-18"|"0000000000"|"0000000001"
"RESO ORD. 20251"|"1948217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000000"|"0000000001"
"RESO ORD. 20282"|"1941217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015227"|"HOBEA-4260194547873-Coperta Ovetto in Pile grigio rosa"|"0000000000"|"0000000001"
"RESO ORD. 20335"|"1952217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A010870"|"FCTRY-BBSTA03-Bavaglino Bandana set Nero/Bianco/Grigio"|"0000000000"|"0000000002"
"RESO ORD. 20576"|"1959217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000000"|"0000000001"
"RESO ORD. 20605"|"1949217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A007768"|"SPUGNOTTO-Spugnotto Giallo e Rosa"|"0000000000"|"0000000001"
"RESO ORD. 20605"|"1949217"|"20170105"|"20170105"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A010167"|"CHILDHOME-CHBBHF-Supporto per Bagnetto Bianco e Rosa"|"0000000000"|"0000000001"
