"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB2000PB"|"ELODIE DETAILS-103816-Passeggino Bianco e Nero Graphic Grace"|"0000000001"|"0000000001"
"PO31811"|"2490217"|"20170313"|"20170313"|""|"00000000"|"FO20170227_PO31811"|"elodie details"|"RB3A009381"|"ELODIE DETAILS-103025-Ciuccio Blue Jeans Baby"|"0000000000"|"0000000010"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB3A010144"|"ELODIE DETAILS-103818-Passeggino a Pois DOT"|"0000000001"|"0000000001"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB3A018145"|"ELODIE DETAILS-103095-TAPPETO DA GIOCO PRETTY PETROL"|"0000000002"|"0000000002"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB3A018146"|"ELODIE DETAILS-103149-CORDINO CIUCCIO GRAPHIC DEVOTION"|"0000000010"|"0000000010"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB3A018147"|"ELODIE DETAILS-103150-CORDINO CIUCCIO POWDER PINK"|"0000000010"|"0000000010"
"PO31811"|"2490217"|"20170313"|"20170313"|""|"00000000"|"FO20170227_PO31811"|"elodie details"|"RB3A018150"|"ELODIE DETAILS-103153-CORDINO CIUCCIO THE UGLY DUCKLING"|"0000000000"|"0000000010"
"PO31811"|"2490217"|"20170313"|"20170313"|"PO31811"|"20170227"|"FO20170227_PO31811"|"elodie details"|"RB3A018201"|"ELODIE DETAILS-103797-ZANZARIERA PER PASSEGGINO POIS"|"0000000002"|"0000000002"
"PO31834"|"2492217"|"20170313"|"20170313"|"PO31834"|"20170302"|"FO20170302_PO31834"|"The Magic Door Store"|"RB3A012377"|"THE MAGIC DOOR STORE-0700461482406-My Elf Door Red"|"0000000001"|"0000000001"
"PO31834"|"2492217"|"20170313"|"20170313"|"PO31834"|"20170302"|"FO20170302_PO31834"|"The Magic Door Store"|"RB3A012378"|"THE MAGIC DOOR STORE-0700461482437-My Elf Door Green"|"0000000001"|"0000000001"
