"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#32938"|"31071317"|"00000000000000340479"|"201705005276974"|"20170704"|"1"|"RB3A020890"|"KG DESIGN-100103-Set 2 Portagelato in Silicone Verde Turchese"|"0000000001"|"0000000.00"
"#32938"|"31071317"|"00000000000000340479"|"201705005276974"|"20170704"|"2"|"RB3A019659"|"FUNKIT WORLD-SBB-61-Funkit World Borsa da Spiaggia in Silicone Rosa"|"0000000001"|"0000000.00"
"#32938"|"31071317"|"00000000000000340479"|"201705005276974"|"20170704"|"4"|"RB3A018638"|"LITTLELIFE-L10820-Zaino Littlelife 1-3 anni Giraffa"|"0000000001"|"0000000.00"
"#33150"|"31266317"|"00000000000000340249"|"201705005276866"|"20170706"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#33141"|"31269317"|"00000000000000340219"|"201705005276951"|"20170706"|"1"|"RB3A012838"|"BROTHER MAX-71190PG2-Borraccia 2 drink in 1 rosa e verde"|"0000000001"|"0000019.90"
"#33102"|"31270317"|"00000000000000339939"|"201705005276555"|"20170706"|"1"|"RB3A009314"|"ROCKETBABY-RBP15100303-Cesto per Passeggino Riccio"|"0000000001"|"0000025.86"
"#33083"|"31275317"|"00000000000000340109"|"201705005276581"|"20170706"|"1"|"RB3A012353"|"CUPCAKE BABIES-CCBBF01-Set Baby Bath 2 in 1 Fucsia"|"0000000001"|"0000032.76"
"#32894"|"31276317"|"00000000000000340579"|"201705005277039"|"20170706"|"2"|"RB3A020517"|"MIAMI KIDS-D0734-1_RED-Scarpe Soft Sole Baby Bianche e Rosse-9-12 Mesi"|"0000000001"|"0000038.82"
"#32894"|"31276317"|"00000000000000340579"|"201705005277039"|"20170706"|"1"|"RB3A020975"|"BUGGYGEAR-NI-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000001"|"0000038.82"
"#33145"|"31267317"|"00000000000000340229"|"201705005276941"|"20170706"|"1"|"RB3A014887"|"ROCKETBABY-RBP16350-Sacco Nanna Balena Blu"|"0000000001"|"0000054.76"
"#33098"|"31272317"|"00000000000000340599"|"201705005277034"|"20170706"|"1"|"RB3A020754"|"DUUKIES BEACH SOCKS-FJ-26-27-Calze in Neoprene Jet-26-27"|"0000000001"|"0000026.86"
"#33089"|"31273317"|"00000000000000340259"|"201705005276865"|"20170706"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#32885"|"31278317"|"00000000000000340639"|"201705005277131"|"20170706"|"1"|"RB3A020975"|"BUGGYGEAR-NI-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000002"|"0000034.82"
"#33142"|"31268317"|"00000000000000340239"|"201705005276863"|"20170706"|"1"|"RB3A014894"|"ROCKETBABY-RBP16336-Scatola Portagiochi Balena"|"0000000001"|"0000027.86"
"#32889"|"31277317"|"00000000000000340589"|"201705005277136"|"20170706"|"1"|"RB3A020520"|"MIAMI KIDS-D0734-1_PINK-Scarpe Soft Sole Baby Bianche e Rosa-9-12 Mesi"|"0000000001"|"0000038.82"
"#32889"|"31277317"|"00000000000000340589"|"201705005277136"|"20170706"|"2"|"RB3A020975"|"BUGGYGEAR-NI-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000001"|"0000038.82"
"#32594"|"31282317"|"00000000000000340489"|"201705005277155"|"20170706"|"2"|"RB3A020846"|"BIOOUT-ECO-BU002-Antizanzare Spray 100 Ml"|"0000000001"|"0000056.63"
"#32594"|"31282317"|"00000000000000340489"|"201705005277155"|"20170706"|"4"|"RB3A020020"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-23"|"0000000001"|"0000056.63"
"#32594"|"31282317"|"00000000000000340489"|"201705005277155"|"20170706"|"3"|"RB3A020848"|"BIOOUT-ECO-BU004-Spray per Ambiente Anti-zanzare e insetti 150 Ml"|"0000000001"|"0000056.63"
"#32594"|"31282317"|"00000000000000340489"|"201705005277155"|"20170706"|"1"|"RB3A020863"|"LA MILLOU PARENTS PRIDE-HAT-G-WBBI-Cappellino da Sole Regolabile Bambi Bianco"|"0000000001"|"0000056.63"
