"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#23926"|"22317317"|"00000000000000238579"|"201705005059444"|"20170207"|"1"|"RB3A017507"|"EFFII-5901832945291-Berretto Di Cachemire Con Orecchie Silver M-42cm"|"0000000001"|"0000031.96"
"#24572"|"22318317"|"00000000000000238429"|"201705005059477"|"20170207"|"1"|"RB3A017743"|"KAISER-65708224-Sacco passeggino Igloo Grigio 105x48"|"0000000001"|"0000070.86"
"#24570"|"22319317"|"00000000000000237989"|"201705005059248"|"20170207"|"1"|"RB3A013855"|"BLADEeROSE-5060257466245-Leggings Red Daisy 3-4y"|"0000000001"|"0000020.39"
"#24716"|"22320317"|"00000000000000237959"|"201705005059253"|"20170207"|"1"|"RB3A013572"|"BLADEeROSE-5060257465767-Leggings Crazy Cat 6-12m"|"0000000001"|"0000033.88"
"#24716"|"22320317"|"00000000000000237959"|"201705005059253"|"20170207"|"2"|"RB3A013833"|"BLADEeROSE-5060257465668-Leggings Racing car 6-12m"|"0000000001"|"0000033.88"
"#24710"|"22321317"|"00000000000000237629"|"201705005059009"|"20170207"|"1"|"RB3A017483"|"EFFII-5901832942153-Cuscino Allattamento Luna Grigio XXL"|"0000000001"|"0000078.86"
"#24710"|"22321317"|"00000000000000237629"|"201705005059009"|"20170207"|"2"|"RB20012Q"|"Duux-DUBP01-Proiettore per Bambini Bianco"|"0000000001"|"0000078.86"
"#24709"|"22322317"|"00000000000000238239"|"201705005059620"|"20170207"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#24709"|"22322317"|"00000000000000238239"|"201705005059620"|"20170207"|"2"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000034.71"
"#24700"|"22323317"|"00000000000000237899"|"201705005059408"|"20170207"|"1"|"RB3A012375"|"ROCKETBABY-RBP16308-Cesto Portagiochi Fluffy la Nuvola"|"0000000001"|"0000065.82"
"#24700"|"22323317"|"00000000000000237899"|"201705005059408"|"20170207"|"2"|"RB3A011137"|"ROCKETBABY-RBP16306-Cesto Contenitore ZigZag Verde"|"0000000001"|"0000065.82"
"#24671"|"22324317"|"00000000000000238439"|"201705005059474"|"20170207"|"1"|"RBAJ201510070002"|"ELODIE DETAILS-103899-Ciuccio Oro"|"0000000001"|"0000030.90"
"#24659"|"22325317"|"00000000000000237639"|"201705005058949"|"20170207"|"1"|"RB20012Q"|"Duux-DUBP01-Proiettore per Bambini Bianco"|"0000000001"|"0000042.76"
"#24650"|"22326317"|"00000000000000238269"|"201705005059446"|"20170207"|"1"|"RB3A015757"|"IIAMO-901-Set ciuccio e porta ciuccio rosa 0 e 6 mesi"|"0000000001"|"0000017.86"
"#24633"|"22327317"|"00000000000000238119"|"201705005059178"|"20170207"|"1"|"RB3A015213"|"HOBEA-4260194542687-Copertina in Pile con applicazione rossa-bianca"|"0000000001"|"0000046.76"
"#24624"|"22328317"|"00000000000000238279"|"201705005059487"|"20170207"|"1"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000034.71"
"#24624"|"22328317"|"00000000000000238279"|"201705005059487"|"20170207"|"2"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#24614"|"22329317"|"00000000000000238039"|"201705005059232"|"20170207"|"1"|"RB3A014882"|"ROCKETBABY-RBP16345-Sacco Nanna Balena Grigio"|"0000000001"|"0000057.76"
"#24610"|"22330317"|"00000000000000238309"|"201705005059581"|"20170207"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000002"|"0000021.70"
"#24576"|"22331317"|"00000000000000238099"|"201705005059939"|"20170207"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#24224"|"22332317"|"00000000000000238149"|"201705005059168"|"20170207"|"1"|"RB3A015425"|"SILVERMOTHERCARE-CH2065-Chiama Angeli Ciuccio Rosa"|"0000000001"|"0000029.86"
"#24154"|"22333317"|"00000000000000238329"|"201705005059448"|"20170207"|"1"|"RB3A017451"|"EFFII-5901832942078-Cuffia Neonato Bianca Con Stelle Grigie 0-1 mese"|"0000000001"|"0000076.77"
"#24154"|"22333317"|"00000000000000238329"|"201705005059448"|"20170207"|"2"|"RB3A016193"|"NOPPIES-67373C134-Pantaloni azzurri stelline baby 50cm"|"0000000001"|"0000076.77"
"#24154"|"22333317"|"00000000000000238329"|"201705005059448"|"20170207"|"3"|"RB3A016157"|"NOPPIES-67378C134-Felpina azzurra stellina baby 50cm"|"0000000001"|"0000076.77"
"#24154"|"22333317"|"00000000000000238329"|"201705005059448"|"20170207"|"4"|"RB3A016325"|"NOPPIES-64567C246-Tuta grigia pois baby 50cm"|"0000000001"|"0000076.77"
"#24126"|"22334317"|"00000000000000238479"|"201705005059415"|"20170207"|"1"|"RB3A017485"|"EFFII-5901832944669-Cuscino Allattamento Luna Blu XXL"|"0000000001"|"0000043.90"
"#24069"|"22335317"|"00000000000000237809"|"201705005059100"|"20170207"|"1"|"RB3A010139"|"ELODIE DETAILS-103838-Set Lettino Acchiappasogni"|"0000000001"|"0000183.62"
"#24069"|"22335317"|"00000000000000237809"|"201705005059100"|"20170207"|"2"|"RB3A009393"|"ELODIE DETAILS-103126-Cordoncino Ciuccio - Pizzo"|"0000000001"|"0000183.62"
"#24069"|"22335317"|"00000000000000237809"|"201705005059100"|"20170207"|"3"|"RB3A009386"|"ELODIE DETAILS-103124-Cordoncino Ciuccio - Petit Royal Pink"|"0000000001"|"0000183.62"
"#24069"|"22335317"|"00000000000000237809"|"201705005059100"|"20170207"|"4"|"RB3A017419"|"EFFII-5901832942719-Trapunta Avvolgente Neonato Double Face Conigli Grigi e Pois Rosa"|"0000000001"|"0000183.62"
"#24069"|"22335317"|"00000000000000237809"|"201705005059100"|"20170207"|"5"|"RB3A017471"|"EFFII-5901832944942-Cuffia Neonato Cipria Con Cuore 0-1 mese"|"0000000001"|"0000183.62"
