"StkCodiceFornitore"|"StkRagSocFornitore"|"StkAnaArtCodice"|"StkAnaArtDescrizione"|"StkQuantitaTotale"|"StkQuantitaImpegnata"|"StkQuantitaDisponibile"
"FO20170508_PO32215"|"elodie details"|"RB3A018160"|"ELODIE DETAILS-103351-CAPPELLINO IN COTONE PRETTY PETROL-0-6 Mesi"|"0000000001"|"0000000000"|"0000000001"
"FO20170508_PO32219"|"Funkit World"|"RB3A019664"|"FUNKIT WORLD-FBE-73-Funkit World Frisbee in Silicone Verde Lime"|"0000000002"|"0000000000"|"0000000002"
"FO20170508_PO32219"|"Funkit World"|"RB3A019665"|"FUNKIT WORLD-FBE-74-Funkit World Frisbee in Silicone Rosa"|"0000000004"|"0000000000"|"0000000004"
"FO20170509_PO32220"|"A Little Lovely Company"|"RB3A018395"|"A LITTLE LOVELY COMPANY-CUGH012-Cuscinetto Fantasmino"|"0000000001"|"0000000000"|"0000000001"
"FO20170509_PO32228"|"Baby Elephant Ears"|"RB3A019598"|"BABY ELEPHANT EARS-2011-Baby Elephant Ears Copertina con Pois Bianchi e Rosa"|"0000000004"|"0000000000"|"0000000004"
"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018629"|"CHEEKY CHOMPERS-CC034-DouDou con Giochino per la Dentizione Incorporato Twinkle Twinkle"|"0000000008"|"0000000000"|"0000000008"
"FO20170511_PO32229"|"Cheeky Chompers"|"RB3A018630"|"CHEEKY CHOMPERS-CC040-DouDou con Giochino per la Dentizione Incorporato Red Stars"|"0000000003"|"0000000000"|"0000000003"
"FO20170511_PO32230"|"Suavinex"|"RB3A019713"|"SUAVINEX-QS0240008-BIO BABY DENTIFRICIO"|"0000000002"|"0000000000"|"0000000002"
"FO20170511_PO32230"|"Suavinex"|"RB3A019718"|"SUAVINEX-QS0240013-BIO BABY CAMBIO PANNOLINO"|"0000000001"|"0000000000"|"0000000001"
"FO20170511_PO32230"|"Suavinex"|"RB3A019719"|"SUAVINEX-QS0240014-BIO BABY SHAMPOO"|"0000000002"|"0000000000"|"0000000002"
"FO20170511_PO32230"|"Suavinex"|"RB3A019723"|"SUAVINEX-QS0240004-ECOBIO BABY IGIENIZZANTE  BUCATO"|"0000000001"|"0000000000"|"0000000001"
"FO20170512_PO32238"|"Big Mouth"|"RB3A011622"|"BIG MOUTH-BMPFBS-Ciambellone gonfiabile XXL Cigno nero"|"0000000002"|"0000000000"|"0000000002"
"FO20170512_PO32238"|"Big Mouth"|"RB3A011637"|"BIG MOUTH-BMBTPI-Telo da mare XXL Pizza"|"0000000028"|"0000000000"|"0000000028"
"FO20170512_PO32238"|"Big Mouth"|"RB3A019757"|"BIG MOUTH-BMPF-2H-Float Two of Hearts 1.8m NEW"|"0000000006"|"0000000000"|"0000000006"
"FO20170512_PO32238"|"Big Mouth"|"RB3A019768"|"BIG MOUTH-BMPF-SDN-Noodle Shnoodle Pen 1.5m NEW"|"0000000018"|"0000000000"|"0000000018"
"FO20170512_PO32238"|"Big Mouth"|"RB3A019769"|"BIG MOUTH-BMBT-CS-Beach Blanket Cookie 1.5m NEW"|"0000000017"|"0000000000"|"0000000017"
"FO20170512_PO32238"|"Big Mouth"|"RB3A019770"|"BIG MOUTH-BMBT-EM-Beach Blanket Emoji 1.5m NEW"|"0000000033"|"0000000000"|"0000000033"
"FO20170512_PO32238"|"Big Mouth"|"RB3A019771"|"BIG MOUTH-BMBT-SB-Beach Blanket Strawberry 1.5m NEW"|"0000000019"|"0000000000"|"0000000019"
"FO20170512_PO32240"|"COQ EN PATE"|"RB3A008310"|"COQ EN PATE-L15ACCBOBMBPANCappellino Panda M (2-3 anni)"|"0000000004"|"0000000000"|"0000000004"
"FO20170512_PO32240"|"COQ EN PATE"|"RB3A008317"|"COQ EN PATE-L15ACCBOBMBZEB-Cappellino Zebra L (4-6 anni)"|"0000000004"|"0000000000"|"0000000004"
"FO20170512_PO32240"|"COQ EN PATE"|"RB3A008320"|"COQ EN PATE-L13EACCBOBMBTIG-Cappellino Tigre L (4-6 anni)"|"0000000003"|"0000000000"|"0000000003"
"FO20170512_PO32240"|"COQ EN PATE"|"RB3A008324"|"COQ EN PATE-L13EACCBOBMBLIO-Cappellino Leone - S (6-18 mesi)"|"0000000002"|"0000000000"|"0000000002"
"FO20170512_PO32240"|"COQ EN PATE"|"RB3A008325"|"COQ EN PATE-L13EACCBOBMBLIO-Cappellino Leone M (2-3 anni)"|"0000000006"|"0000000000"|"0000000006"
"FO20170512_PO32242"|"I Play"|"RB3A019619"|"I PLAY-711054-215-45-Iplay Costumino Pannolino Contenitivo Mix'n Match  Cabana Geo-24 mesi"|"0000000001"|"0000000000"|"0000000001"
"FO20170512_PO32242"|"I Play"|"RB3A019626"|"I PLAY-721054-637-42-Iplay Costumino Pannolino Contenitivo Mix'n Match Aqua Surf Sunset-6 Mesi"|"0000000002"|"0000000000"|"0000000002"
"FO20170512_PO32252"|"mamma baby olcelli"|"RB2000DH"|"MAMMA BABY OLCELLI-pant100b-Crema Baby"|"0000000008"|"0000000000"|"0000000008"
"FO20170512_PO32252"|"mamma baby olcelli"|"RB3A019642"|"MAMMA BABY OLCELLI-BALS250B-Mamma Baby Olcelli Balsamo Baby 250ml"|"0000000004"|"0000000000"|"0000000004"
"FO20170515_PO32257"|"Bubblegum Stuff"|"RB3A019669"|"BUBBLEGUM STUFF-12435-Bubblegum Stuff Gentleman Baby Bottle Champagne Flute"|"0000000007"|"0000000000"|"0000000007"
"FO20170515_PO32257"|"Bubblegum Stuff"|"RB3A019672"|"BUBBLEGUM STUFF-13186-Bubblegum Stuff Space Ship Egg Shaper"|"0000000003"|"0000000000"|"0000000003"
"FO20170515_PO32259"|"elodie details"|"RB3A018171"|"ELODIE DETAILS-103462-BAVAGLINO  PIERROT BIANCO VANIGLIA"|"0000000007"|"0000000000"|"0000000007"
"FO20170515_PO32263"|"Esthex"|"RB3A009451"|"ESTHEX-050420-Gioco da Carrozzina Rosso Peter"|"0000000001"|"0000000000"|"0000000001"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011297"|"KANGA CARE-KC-C4011SP-Pannolino Rumparooz Platinum"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011298"|"KANGA CARE-KC-KRRUMPSOS-S031-Pannolino Rumparooz Poppy"|"0000000007"|"0000000000"|"0000000007"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011302"|"KANGA CARE-KC-KRRUMPSOS-S027-Pannolino Rumparooz Spice"|"0000000004"|"0000000000"|"0000000004"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011303"|"KANGA CARE-KC-KRRUMPSOS-S026-Pannolino Rumparooz Tadpole"|"0000000003"|"0000000000"|"0000000003"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011307"|"KANGA CARE-KC-KRRUMPSOS-P118-Pannolino Rumparooz Destiny"|"0000000004"|"0000000000"|"0000000004"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011308"|"KANGA CARE-KC-KRRUMPSOS-P114-Pannolino Rumparooz Invader"|"0000000004"|"0000000000"|"0000000004"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011309"|"KANGA CARE-KC-KRRUMPSOS-P115-Pannolino Rumparooz Jeweled"|"0000000003"|"0000000000"|"0000000003"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011312"|"KANGA CARE-KC-KRRUMPSOS-P119-Pannolino Rumparooz Unity"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011322"|"KANGA CARE-KC-KRWETB_OS-S031-Wet Bag Portapannolini Poppy"|"0000000001"|"0000000000"|"0000000001"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011324"|"KANGA CARE-KC-KRWETB_OS-S033-Wet Bag Portapannolini Scarlet"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011325"|"KANGA CARE-KC-KRWETB_OS-S024-Wet Bag Portapannolini Sherbert"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011328"|"KANGA CARE-KC-KRWETB_OS-P116-Wet Bag Portapannolini Bonnie"|"0000000001"|"0000000000"|"0000000001"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011332"|"KANGA CARE-KC-KRWETB_OS-P114-Wet Bag Portapannolini Invader"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011333"|"KANGA CARE-KC-KRWETB_OS-P115-Wet Bag Portapannolini Jeweled"|"0000000002"|"0000000000"|"0000000002"
"FO20170515_PO32265"|"Kanga Care"|"RB3A011909"|"KANGA CARE-KC-KRRUMPSOS-P125-Pannolino Rumparooz Limited Edition TokiCorno"|"0000000004"|"0000000000"|"0000000004"
"FO20170515_PO32267"|"limobasics"|"RB3A014321"|"LIMOBASICS-50769R_MAG_74-80-Giubottino Magenta 74-80"|"0000000001"|"0000000000"|"0000000001"
"FO20170518_PO32274"|"Sipsnap"|"RB3A019774"|"SIPSNAP-TOT-RiseNShine-TOT Rise'n'shine"|"0000000002"|"0000000000"|"0000000002"
"FO20170518_PO32274"|"Sipsnap"|"RB3A019778"|"SIPSNAP-TOT-Sandbox-TOT-Sandbox"|"0000000002"|"0000000000"|"0000000002"
"FO20170518_PO32274"|"Sipsnap"|"RB3A019779"|"SIPSNAP-KID-BlueQuench-KID-BlueQuench"|"0000000008"|"0000000000"|"0000000008"
"FO20170518_PO32276"|"A Little Lovely Company"|"RB3A009940"|"A LITTLE LOVELY COMPANY-WSCK002-Stickers da Muro: Coolest Kid Ever"|"0000000004"|"0000000000"|"0000000004"
"FO20170518_PO32276"|"A Little Lovely Company"|"RB3A017792"|"A LITTLE LOVELY COMPANY-LTMI057-Mini milk light Mint"|"0000000001"|"0000000000"|"0000000001"
"FO20170518_PO32281"|"Baby Elephant Ears"|"RB3A019603"|"BABY ELEPHANT EARS-7007-Baby Elephant Ears Cuscino Ergonomico Luxe Grigio"|"0000000001"|"0000000000"|"0000000001"
"FO20170518_PO32287"|"fctry"|"RB3A009817"|"FCTRY-GLSTA21-Occhiali da Sole Baby Neri 0-2 anni"|"0000000001"|"0000000000"|"0000000001"
"FO20170518_PO32287"|"fctry"|"RB3A009818"|"FCTRY-GLSTA22-Occhiali da Sole Baby Bianchi 0-2 anni"|"0000000009"|"0000000000"|"0000000009"
"FO20170518_PO32287"|"fctry"|"RB3A009821"|"FCTRY-GLSTA25-Occhiali da Sole Baby Gialli 0-2 anni"|"0000000006"|"0000000000"|"0000000006"
"FO20170519_PO32288"|"Igor Shoes"|"RB3A020021"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-24"|"0000000001"|"0000000000"|"0000000001"
"FO20170519_PO32289"|"limobasics"|"RB3A018589"|"LIMOBASICS-57525S_MAG_50-56-Tutina senza Maniche Vintage Limobasics Porpora-50-56 cm"|"0000000001"|"0000000000"|"0000000001"
"FO20170519_PO32290"|"Little Bird Told Me"|"RB3A015429"|"LITTLE BIRD TOLD ME-LB3031-Dylan e Boo Rocking Horse"|"0000000001"|"0000000000"|"0000000001"
"FO20170519_PO32290"|"Little Bird Told Me"|"RB3A015441"|"LITTLE BIRD TOLD ME-LB3027-Bobble e Pip Rocking Horse"|"0000000001"|"0000000000"|"0000000001"
"FO20170519_PO32291"|"mamma baby olcelli"|"RB2000DJ"|"MAMMA BABY OLCELLI-amid30b-Amido Riso"|"0000000008"|"0000000000"|"0000000008"
"FO20170519_PO32291"|"mamma baby olcelli"|"RB3A019644"|"MAMMA BABY OLCELLI-AP150B-Mamma Baby Olcelli Acqua Profumata Baby 150 ml"|"0000000008"|"0000000000"|"0000000008"
"FO20170519_PO32298"|"EZPZ"|"RB3A012306"|"EZPZ-HMB-Happy Mat Blu"|"0000000001"|"0000000000"|"0000000001"
"FO20170519_PO32298"|"EZPZ"|"RB3A012308"|"EZPZ-HMV-Happy Mat Verde"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32302"|"JULICA"|"RB3A009266"|"JULICA-100711-Poster della Crescita Giraffa Maschietti"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32304"|"Bamboom"|"RB3A013095"|"BAMBOOM-104-020-032-BIB -BIMBO MUSLIN 2-PACK STRISCE GRIGIE-0"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32304"|"Bamboom"|"RB3A013145"|"BAMBOOM-104-003-002-CAMBIO COVER SQUARE - Changing mat elastic 50x70cm GRIGIO CHIARO-0"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A007730"|"COQ EN PATE-L15SACRUKMBPAN-Sacca Panda"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A008310"|"COQ EN PATE-L15ACCBOBMBPANCappellino Panda M (2-3 anni)"|"0000000003"|"0000000000"|"0000000003"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A008317"|"COQ EN PATE-L15ACCBOBMBZEB-Cappellino Zebra L (4-6 anni)"|"0000000003"|"0000000000"|"0000000003"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A008320"|"COQ EN PATE-L13EACCBOBMBTIG-Cappellino Tigre L (4-6 anni)"|"0000000003"|"0000000000"|"0000000003"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A011099"|"COQ EN PATE-L16ACCBOBMBELE-Cappellino Elefante M"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A018704"|"COQ EN PATE-L17EACCBOBPHO-Coq en Pate Cappellino Foca-S"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A018705"|"COQ EN PATE-L17EACCBOBPHO-Coq en Pate Cappellino Foca-M"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A018706"|"COQ EN PATE-L17EACCBOBPHO-Coq en Pate Cappellino Foca-L"|"0000000003"|"0000000000"|"0000000003"
"FO20170522_PO32305"|"COQ EN PATE"|"RB3A018709"|"COQ EN PATE-L17EACCBOBDAU-Coq en Pate Cappellino Delfino-L"|"0000000003"|"0000000000"|"0000000003"
"FO20170522_PO32308"|"Suavinex"|"RB3A019712"|"SUAVINEX-QS0240007-BIO BABY GEL GENGIVE"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32308"|"Suavinex"|"RB3A019718"|"SUAVINEX-QS0240013-BIO BABY CAMBIO PANNOLINO"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32308"|"Suavinex"|"RB3A019719"|"SUAVINEX-QS0240014-BIO BABY SHAMPOO"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32308"|"Suavinex"|"RB3A019720"|"SUAVINEX-QS0240001-ECOBIO BABY BUCATO"|"0000000002"|"0000000000"|"0000000002"
"FO20170522_PO32308"|"Suavinex"|"RB3A019722"|"SUAVINEX-QS0240003-ECOBIO BABY MULTIUSO SPRAY"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32309"|"elodie details"|"RB3A010104"|"ELODIE DETAILS-103145-Cordoncino Ciuccio - Pizzo Rosa"|"0000000001"|"0000000000"|"0000000001"
"FO20170522_PO32309"|"elodie details"|"RB3A018168"|"ELODIE DETAILS-103450-BAVAGLINO BANDANA POWDER PINK"|"0000000004"|"0000000000"|"0000000004"
"FO20170522_PO32314"|"NOPPIES"|"RB3A020198"|"NOPPIES-67360_C092-Body a Maniche Corte con Cuoricini Rosa-44"|"0000000001"|"0000000000"|"0000000001"
"FO20170523_PO32315"|"KUK"|"RB3A010941"|"KUK-MS001-Occhiali da Sole Minisquids Fucsia"|"0000000001"|"0000000000"|"0000000001"
"FO20170523_PO32315"|"KUK"|"RB3A010947"|"KUK-MS007-Occhiali da Sole Minisquids Rossi"|"0000000001"|"0000000000"|"0000000001"
"FO20170523_PO32320"|"SilverMotherCare"|"RB3A015412"|"SILVERMOTHERCARE-SFLR01-Coppette copricapezzoli"|"0000000001"|"0000000000"|"0000000001"
"FO20170523_PO32320"|"SilverMotherCare"|"RB3A015413"|"SILVERMOTHERCARE-CH1100/A-Chiama Angeli a Cuore Angioletto"|"0000000001"|"0000000000"|"0000000001"
"FO20170523_PO32320"|"SilverMotherCare"|"RB3A015649"|"SILVERMOTHERCARE-CH500-Bracciale Chiama Angeli"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32323"|"NIKE"|"RB3A014016"|"NIKE-454478-PICO 4 (TDV) ROSA 2C-EU17"|"0000000002"|"0000000000"|"0000000002"
"FO20170524_PO32323"|"NIKE"|"RB3A014018"|"NIKE-454478-PICO 4 (TDV) ROSA 3C-EU18.5"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32323"|"NIKE"|"RB3A014020"|"NIKE-454478-PICO 4 (TDV) ROSA 4C-EU19.5"|"0000000003"|"0000000000"|"0000000003"
"FO20170524_PO32323"|"NIKE"|"RB3A014092"|"NIKE-454501-PICO 4 (TDV) NERA 2C-EU17"|"0000000003"|"0000000000"|"0000000003"
"FO20170524_PO32323"|"NIKE"|"RB3A014094"|"NIKE-454501-PICO 4 (TDV) NERA 3C-EU18.5"|"0000000002"|"0000000000"|"0000000002"
"FO20170524_PO32328"|"Toby Tiger"|"RB3A014464"|"TOBY TIGER-DUCDINO-Salopette Dinosauri 6-12 mesi"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32328"|"Toby Tiger"|"RB3A018973"|"TOBY TIGER-DUCBWHALE-Toby Tiger Salopette Blu Balena-1-2 Anni"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32328"|"Toby Tiger"|"RB3A019016"|"TOBY TIGER-HASUREPISTR-Toby Tiger Cappellino per il Sole Fragole-XXS"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32329"|"Igor Shoes"|"RB3A020040"|"IGOR SHOES-S10168-046-Sandali da Spiaggia Minnie-25"|"0000000001"|"0000000000"|"0000000001"
"FO20170524_PO32329"|"Igor Shoes"|"RB3A020048"|"IGOR SHOES-S10169-063-Sandali da Spiaggia Topolino-19"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32331"|"Boon"|"RB3A019516"|"BOON-B10087-Boon Rana Portaoggetti Da Bagno"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32332"|"Crazy Safety"|"RB3A019909"|"CRAZY SAFETY-240265-20-Lucchetto di Sicurezza per Bicicletta Squalo Rosa"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32332"|"Crazy Safety"|"RB3A019911"|"CRAZY SAFETY-240505-20-Lucchetto di Sicurezza per Bicicletta Tigre Verde"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32332"|"Crazy Safety"|"RB3A019915"|"CRAZY SAFETY-520217-20-Campanello per Bicicletta e Monopattino Squalo Rosa"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013477"|"BLADEeROSE-5060257461554-Hoodie Star Grey 2-3y"|"0000000002"|"0000000000"|"0000000002"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013504"|"BLADEeROSE-5060257462018-Leggings Blue whale 0-6m"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013572"|"BLADEeROSE-5060257465767-Leggings Crazy Cat 6-12m"|"0000000003"|"0000000000"|"0000000003"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013573"|"BLADEeROSE-5060257465774-Leggings Crazy Cat 1-2y"|"0000000005"|"0000000000"|"0000000005"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013574"|"BLADEeROSE-5060257465781-Leggings Crazy Cat 2-3y"|"0000000002"|"0000000000"|"0000000002"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013601"|"BLADEeROSE-5060257460151-Leggings Daisy 2-3y"|"0000000002"|"0000000000"|"0000000002"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013643"|"BLADEeROSE-5060257461929-Leggings Fire engine 6-12m"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013644"|"BLADEeROSE-5060257461936-Leggings Fire engine 1-2y"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013648"|"BLADEeROSE-5060257466016-Leggings Fifi Flamingo 6-12m"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013693"|"BLADEeROSE-5060257463763-Leggings HRH  6-12m"|"0000000002"|"0000000000"|"0000000002"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013708"|"BLADEeROSE-5060257461684-Leggings Katie Kitten  0-6m"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013711"|"BLADEeROSE-5060257461714-Leggings Katie Kitten  2-3y"|"0000000001"|"0000000000"|"0000000001"
"FO20170525_PO32333"|"BladeeRose"|"RB3A013721"|"BLADEeROSE-5060257462285-Leggings Martie Monster 1-2y"|"0000000002"|"0000000000"|"0000000002"
