"ProNumeroOrdine"|"ProNumeroProtocollo"|"ProDataImport"|"ProRigaOrdine"|"ProArtCodice"|"ProArtDescrizione"|"ProArtQta"
"#30069"|"28810317"|"20170606"|"1"|"RB3A017457"|"EFFII-5901832942108-Cuffia Neonato Grigia Con Cuore Bianco 0-1 mese"|"0000000001"
"#30069"|"28810317"|"20170606"|"2"|"RB3A017487"|"EFFII-5901832944676-Cuscino Allattamento Luna Cipria XXL"|"0000000001"
"#30417"|"28706317"|"20170606"|"1"|"RB3A019773"|"SUAVINEX-QS005DR03-DUCCIO STERILIZZACIUCCIO ROSSO"|"0000000001"
"#30417"|"28706317"|"20170606"|"2"|"RB3A019778"|"SIPSNAP-TOT-Sandbox-TOT-Sandbox"|"0000000001"
"#30417"|"28706317"|"20170606"|"3"|"RB3A017491"|"BOON-B10122A-Cucchiaio Dispenser Per La Pappa Azzurro"|"0000000001"
"#30417"|"28706317"|"20170606"|"4"|"RB3A011295"|"KANGA CARE-KC-C4022SP-Pannolino Rumparooz Peacock"|"0000000001"
"#30417"|"28706317"|"20170606"|"5"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"0000000001"
