"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32368"|"3318217"|"20170619"|"20170619"|""|"00000000"|"FO20170529_PO32368"|"Bamboom"|"RB3A013137"|"BAMBOOM-104-000-120-BODY Sleeveless (shoulder opening) BIANCO-TAGLIA-6M"|"0000000000"|"0000000003"
"PO32368"|"3318217"|"20170619"|"20170619"|"PO32368"|"20170529"|"FO20170529_PO32368"|"Bamboom"|"RB3A013138"|"BAMBOOM-104-000-121-BODY Sleeveless (shoulder opening) BIANCO-TAGLIA-9-12M"|"0000000003"|"0000000003"
"PO32462"|"3319217"|"20170616"|"20170619"|"PO32462"|"20170612"|"FO20170612_PO32462"|"Bamboom"|"RB3A013042"|"BAMBOOM-104-047-031-STAR TO HUG NEW VINTAGE with soother loop BIANCO"|"0000000001"|"0000000001"
"PO32462"|"3319217"|"20170616"|"20170619"|"PO32462"|"20170612"|"FO20170612_PO32462"|"Bamboom"|"RB3A013138"|"BAMBOOM-104-000-121-BODY Sleeveless (shoulder opening) BIANCO-TAGLIA-9-12M"|"0000000003"|"0000000003"
"PO32462"|"3319217"|"20170616"|"20170619"|"PO32462"|"20170612"|"FO20170612_PO32462"|"Bamboom"|"RB3A013146"|"BAMBOOM-104-003-002-CAMBIO COVER SQUARE - Changing mat elastic 50x70cm AZZURRO-0"|"0000000001"|"0000000001"
"PO32463"|"3317217"|"20170619"|"20170619"|"PO32463"|"20170612"|"FO20170612_PO32463"|"Esthex"|"RB3A009422"|"ESTHEX-020720-Mini Carillon Nero Mosca Peter"|"0000000002"|"0000000002"
"PO32463"|"3317217"|"20170619"|"20170619"|"PO32463"|"20170612"|"FO20170612_PO32463"|"Esthex"|"RB3A009443"|"ESTHEX-110404-Pupazzo Junior Anatra Sam"|"0000000002"|"0000000002"
"PO32470"|"3316217"|"20170619"|"20170619"|"PO32470"|"20170614"|"FO20170614_PO32470"|"KUK"|"RB3A010941"|"KUK-MS001-Occhiali da Sole Minisquids Fucsia"|"0000000002"|"0000000002"
"PO32470"|"3316217"|"20170619"|"20170619"|"PO32470"|"20170614"|"FO20170614_PO32470"|"KUK"|"RB3A010942"|"KUK-MS002-Occhiali da Sole Minisquids Rosa"|"0000000003"|"0000000003"
"PO32470"|"3316217"|"20170619"|"20170619"|"PO32470"|"20170614"|"FO20170614_PO32470"|"KUK"|"RB3A010944"|"KUK-MS004-Occhiali da Sole Minisquids Azzurri"|"0000000006"|"0000000006"
"PO32470"|"3316217"|"20170619"|"20170619"|"PO32470"|"20170614"|"FO20170614_PO32470"|"KUK"|"RB3A010946"|"KUK-MS006-Occhiali da Sole Minisquids Argento"|"0000000004"|"0000000004"
"PO32470"|"3316217"|"20170619"|"20170619"|"PO32470"|"20170614"|"FO20170614_PO32470"|"KUK"|"RB3A010947"|"KUK-MS007-Occhiali da Sole Minisquids Rossi"|"0000000001"|"0000000001"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020892"|"BUGLET-YL_BBLR-Bracciale Antizanzare Giallo"|"0000000020"|"0000000020"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020893"|"BUGLET-OR_BBLR-Bracciale Antizanzare Arancione"|"0000000020"|"0000000019"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020894"|"BUGLET-PK_BBLR-Bracciale Antizanzare Rosa"|"0000000020"|"0000000020"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020895"|"BUGLET-GR_BBLR-Bracciale Antizanzare Verde Lime"|"0000000020"|"0000000020"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020896"|"BUGLET-PUR_BBLR-Bracciale Antizanzare Viola"|"0000000020"|"0000000020"
"PO32475"|"3315217"|"20170619"|"20170619"|"PO32475"|"20170614"|"FO20170614_PO32475"|"Buglet"|"RB3A020897"|"BUGLET-BL_BBLR-Bracciale Antizanzare Blu"|"0000000020"|"0000000020"
