"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000497"|"20170623"|"#32329"|"20170622"|"0000000001"|"RB3A020019"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-22"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32350"|"20170622"|"0000000001"|"RB3A017525"|"LILIPUTI-2006003010129-Marsupio Mei Tai Peony"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32322"|"20170622"|"0000000001"|"RB3A019984"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-23"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32323"|"20170622"|"0000000001"|"RB3A018474"|"GLOBBER-IDD410-106-Monopattino My Free ad Asta fissa - Verde"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32325"|"20170622"|"0000000002"|"RB3A010913"|"CHILDHOME-CWNLJR1-Giubbottino Salvagente in Neoprene Rosso e Blu 2-3 Anni"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32325"|"20170622"|"0000000001"|"RB3A010940"|"KUK-F110-03-Set 2 Teli Multiuso Renna Verde 120x120"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32297"|"20170622"|"0000000001"|"RB3A020858"|"LA MILLOU PARENTS PRIDE-HAT-G-DCW-Cappellino da Sole Regolabile Acchiappasogni Bianco"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32309"|"20170622"|"0000000001"|"RB3A011293"|"KANGA CARE-KC-KRRUMPSOS-S032-Pannolino Rumparooz Nautical"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32317"|"20170622"|"0000000001"|"RB3A020018"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-21"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#30745A"|"20170622"|"0000000001"|"RB3A019871"|"SKIP HOP-252310-Bottiglia da Viaggio con cannuccia-COCCINELLA"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#30612A"|"20170622"|"0000000001"|"RB3A019555"|"NOPPIES-75364_C095-Noppies Costume da Bagno Intero con Banane Kids-98"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32182A"|"20170622"|"0000000001"|"RB3A009983"|"CHILDHOME-CCCB60MW-Cesto Contenitore Stella Menta 60x32x32"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32243"|"20170621"|"0000000001"|"RB3A020028"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-31"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32282"|"20170621"|"0000000001"|"RB3A018746"|"BOIKIDO-BKD80890071-Boikido Box Portagiochi Peacock"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32253"|"20170621"|"0000000001"|"RB3A019801"|"WOOLY ORGANIC-106-COMFORTER - Teddy"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32272"|"20170621"|"0000000001"|"RB3A020874"|"LA MILLOU PARENTS PRIDE-PIG-HL-RY-Cuscino Porcellino Hello Llamas"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32273"|"20170621"|"0000000002"|"RB3A011301"|"KANGA CARE-KC-KRRUMPSOS-S024-Pannolino Rumparooz Sherbert"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32273"|"20170621"|"0000000001"|"RB3A018659"|"LOLLIPOPS AND MORE-2952349928003-Lollipops and More Macaron Shorty Necklace Powder Pink"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#31417A"|"20170620"|"0000000001"|"RB3A020912"|"BABYCAR-0906v-Quad Outlander Verde"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32179"|"20170620"|"0000000001"|"RB3A017429"|"EFFII-5901832942627-Copertina Double-Face Conigli Grigi e Pois Bianchi"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32202"|"20170620"|"0000000001"|"RB3A020020"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-23"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32178"|"20170620"|"0000000001"|"RB3A020276"|"IGOR SHOES-S10110-032-Sandali Bondi Blu-21"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32168"|"20170620"|"0000000001"|"RB3A020890"|"KG DESIGN-100103-Set 2 Portagelato in Silicone Verde Turchese"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32215"|"20170620"|"0000000001"|"RB3A019990"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-29"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32153"|"20170620"|"0000000002"|"RB3A020870"|"LA MILLOU PARENTS PRIDE-AW-PPE-ECR-Supporto Ergonomico per la Testa Pinguino Pepe"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32153"|"20170620"|"0000000001"|"RB3A020075"|"IGOR SHOES-S10107-073-Sandali da Spiaggia Tenis Fucsia-19"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32224"|"20170620"|"0000000001"|"RB3A020749"|"DUUKIES BEACH SOCKS-BGC-32-33-Calze in Neoprene Bink Green Croco-32-33"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32226"|"20170620"|"0000000001"|"RB3A020827"|"CHARLIE BANANA-8870242-Costumino Pannolino Soccer Lover-M"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32183"|"20170620"|"0000000001"|"RB3A019617"|"I PLAY-711054-215-Iplay Costumino Pannolino Contenitivo Mix'n Match  Cabana Geo-12 Mesi"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32175"|"20170620"|"0000000001"|"RB3A011908"|"KANGA CARE-KC-KRRUMPSOS-P126-Pannolino Rumparooz Dragons Fly"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32210"|"20170620"|"0000000001"|"RB3A020787"|"DUUKIES BEACH SOCKS-MX-32-33-Calze in Neoprene Max-32-33"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32190"|"20170620"|"0000000001"|"RB3A010383"|"BABYCAR-81400B-RANGE ROVER EVOQUE BIANCO"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32185"|"20170620"|"0000000001"|"RB3A020141"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-21"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32209"|"20170620"|"0000000001"|"RB3A019481"|"DONE BY DEER-40509-Palestrina con Animaletti a Righe"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32221"|"20170620"|"0000000001"|"RB3A020748"|"DUUKIES BEACH SOCKS-BGC-30-31-Calze in Neoprene Bink Green Croco-30-31"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32125"|"20170619"|"0000000001"|"RB3A019984"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-23"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#31906"|"20170619"|"0000000001"|"RB3A020876"|"LA MILLOU PARENTS PRIDE-PIG-GSF-SY-Cuscino Porcellino Graphite Sheep Family"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32085"|"20170619"|"0000000001"|"RB3A020879"|"KG DESIGN-3040-Tovaglietta in Silicone Nuvoletta Verde Acqua"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#31907"|"20170619"|"0000000001"|"RB3A020858"|"LA MILLOU PARENTS PRIDE-HAT-G-DCW-Cappellino da Sole Regolabile Acchiappasogni Bianco"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32088"|"20170619"|"0000000001"|"RB3A016528"|"KANGA CARE-KCKRLLNZSXSM409-Set 2 Mutandine Di Transizione tokiSpace e Platinum M"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32032"|"20170619"|"0000000001"|"RB3A010041"|"CHILDHOME-CWRSP-Dondolo a forma di Vespa Rosa"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32027"|"20170619"|"0000000001"|"RB3A020141"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-21"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#32053"|"20170619"|"0000000001"|"RB3A019640"|"I PLAY-721054-816-Iplay Costumino Pannolino Contenitivo Mix'n Match Grigio-36 Mesi"|"0000000001"|"0000000000"
"0000000497"|"20170623"|"#31899"|"20170619"|"0000000001"|"RB3A020891"|"KG DESIGN-100104-Set 2 Portagelato in Silicone Verde Fucsia"|"0000000001"|"0000000000"
