"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008891"|"TYRRELL KATZ-Borraccia motori"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008892"|"TYRRELL KATZ-Borraccia dinosauri"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008897"|"TYRRELL KATZ-Borraccia Giungla"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008899"|"TYRRELL KATZ-Borraccia principesse"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008901"|"TYRRELL KATZ-Borraccia giardino segreto"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008903"|"TYRRELL KATZ-Lunch Box motori"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008904"|"TYRRELL KATZ-Lunch Box dinosauri"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008912"|"TYRRELL KATZ-Lunch Box giardino segreto"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008924"|"TYRRELL KATZ-Bicchiere motori"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008929"|"TYRRELL KATZ-Bicchiere Giungla"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008938"|"TYRRELL KATZ-Ciotola Giungla"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008940"|"TYRRELL KATZ-Ciotola principesse"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008941"|"TYRRELL KATZ-Ciotola giardino segreto"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008942"|"TYRRELL KATZ-Piatto motori"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008947"|"TYRRELL KATZ-Piatto Giungla"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008973"|"TYRRELL KATZ-Bicchiere con manici Giungla"|"0000000006"|"0000000005"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008975"|"TYRRELL KATZ-Bicchiere con manici giardino segreto"|"0000000006"|"0000000006"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008976"|"TYRRELL KATZ-Posate motori"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008977"|"TYRRELL KATZ-Posate dinosauri"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008979"|"TYRRELL KATZ-Posate Giungla"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008980"|"TYRRELL KATZ-Posate elefanti"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008981"|"TYRRELL KATZ-Posate giardino segreto"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008982"|"TYRRELL KATZ-Vassoio con scomparti motori"|"0000000002"|"0000000002"
"PO31733"|"2265217"|"20170207"|"20170207"|"PO31733"|"20170207"|"FO20170207_PO31733"|"Tyrrell Katz"|"RB3A008983"|"TYRRELL KATZ-Vassoio con scomparti dinosauri"|"0000000002"|"0000000002"
