"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#33963A"|"32605317"|"00000000000000355909"|"201705005299984"|"20170725"|"1"|"RB3A020857"|"LA MILLOU PARENTS PRIDE-HAT-G-BB-Cappellino da Sole Regolabile Beach Buddy"|"0000000001"|"0000041.04"
"#33963A"|"32605317"|"00000000000000355909"|"201705005299984"|"20170725"|"2"|"RB3A011808"|"IPANEMA-22262-Sandali Ipanema Summer Baby Giallo 28/29"|"0000000001"|"0000041.04"
"#33963A"|"32605317"|"00000000000000355909"|"201705005299984"|"20170725"|"3"|"RB3A011649"|"IPANEMA-23096-Infradito Ipanema Classic Kid Nero 33/34"|"0000000001"|"0000041.04"
"#33963A"|"32605317"|"00000000000000355909"|"201705005299984"|"20170725"|"4"|"RB3A011748"|"IPANEMA-21970-Infradito Ipanema Unique Kid Bianco 27/28"|"0000000001"|"0000041.04"
"#34434"|"32606317"|"00000000000000355759"|"201705005299335"|"20170725"|"1"|"RB3A017876"|"PLAY e GO-Color_your_map-Sacco Portagiochi Da Colorare"|"0000000001"|"0000043.90"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"1"|"RB3A020651"|"MIAMI KIDS-DTZ9268-ELEP-Tutina 2 Pezzi a Maniche Lunghe Elefantino Re-2 T"|"0000000001"|"0000098.12"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"2"|"RB3A012838"|"BROTHER MAX-71190PG2-Borraccia 2 drink in 1 rosa e verde"|"0000000001"|"0000098.12"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"3"|"RB3A008909"|"TYRRELL KATZ-Lunch Box elefanti"|"0000000001"|"0000098.12"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"4"|"RB3A011124"|"TYRRELL KATZ-102LU2-Lunch Bag Elefanti"|"0000000001"|"0000098.12"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"5"|"RB3A018719"|"COQ EN PATE-L17ESACRUKFLA-Coq en Pate Sacca Fenicottero Rosa"|"0000000001"|"0000098.12"
"#34429"|"32607317"|"00000000000000355979"|"201705005300280"|"20170725"|"6"|"RB3A018713"|"COQ EN PATE-L17EACCBOBFL-Coq en Pate Cappellino Fenicottero Rosa-S"|"0000000001"|"0000098.12"
"#34426"|"32608317"|"00000000000000355419"|"201705005299248"|"20170725"|"1"|"RB3A014987"|"A LITTLE LOVELY COMPANY-LTGH037-Lampada Mini Fantasmino"|"0000000001"|"0000020.76"
"#34419"|"32609317"|"00000000000000355959"|"201705005299973"|"20170725"|"1"|"RB3A009009"|"TYRRELL KATZ-Zainetto Asilo Mini dinosauri"|"0000000001"|"0000053.12"
"#34419"|"32609317"|"00000000000000355959"|"201705005299973"|"20170725"|"2"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000053.12"
"#34418"|"32610317"|"00000000000000355629"|"201705005299430"|"20170725"|"1"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"0000000001"|"0000024.86"
"#34395"|"32611317"|"00000000000000356149"|"201705005300422"|"20170725"|"1"|"RB3A011302"|"KANGA CARE-KC-KRRUMPSOS-S027-Pannolino Rumparooz Spice"|"0000000001"|"0000225.74"
"#34395"|"32611317"|"00000000000000356149"|"201705005300422"|"20170725"|"2"|"RB3A011622"|"BIG MOUTH-BMPFBS-Ciambellone gonfiabile XXL Cigno nero"|"0000000001"|"0000225.74"
"#34395"|"32611317"|"00000000000000356149"|"201705005300422"|"20170725"|"3"|"RB3A011638"|"BIG MOUTH-BM1516-Ciambellone gonfiabile XXL Donut alla fragola"|"0000000001"|"0000225.74"
"#34395"|"32611317"|"00000000000000356149"|"201705005300422"|"20170725"|"4"|"RB3A019518"|"MICRO MOBILITY-MP37170-Micro Mobility Monopattino Mini2go Deluxe Plus Rosa"|"0000000001"|"0000225.74"
"#34280"|"32612317"|"00000000000000355989"|"201705005300040"|"20170725"|"1"|"RB3A008327"|"COQ EN PATE-L13EACCBOBMBBALCappellino Balena S (6-18 mesi)"|"0000000001"|"0000059.78"
"#34280"|"32612317"|"00000000000000355989"|"201705005300040"|"20170725"|"2"|"RB3A009817"|"FCTRY-GLSTA21-Occhiali da Sole Baby Neri 0-2 anni"|"0000000001"|"0000059.78"
"#34280"|"32612317"|"00000000000000355989"|"201705005300040"|"20170725"|"3"|"RB3A009314"|"ROCKETBABY-RBP15100303-Cesto per Passeggino Riccio"|"0000000001"|"0000059.78"
"#34271"|"32613317"|"00000000000000355829"|"201705005300207"|"20170725"|"1"|"RB3A018628"|"CHEEKY CHOMPERS-CC035-DouDou con Giochino per la Dentizione Incorporato Polka Dot Pink"|"0000000001"|"0000069.68"
"#34271"|"32613317"|"00000000000000355829"|"201705005300207"|"20170725"|"2"|"RB3A019842"|"SKIP HOP-235100-Moby -COLORE UNICO"|"0000000001"|"0000069.68"
"#34271"|"32613317"|"00000000000000355829"|"201705005300207"|"20170725"|"3"|"RB3A021005"|"CUP CATCHER-CC08CL-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Corallo"|"0000000001"|"0000069.68"
"#34269"|"32614317"|"00000000000000356139"|"201705005300080"|"20170725"|"1"|"RB3A019771"|"BIG MOUTH-BMBT-SB-Beach Blanket Strawberry 1.5m NEW"|"0000000001"|"0000083.64"
"#34269"|"32614317"|"00000000000000356139"|"201705005300080"|"20170725"|"2"|"RB3A011635"|"BIG MOUTH-BMBTBU-Telo da mare XXL Hamburger Gigante"|"0000000001"|"0000083.64"
"#34269"|"32614317"|"00000000000000356139"|"201705005300080"|"20170725"|"3"|"RB3A019770"|"BIG MOUTH-BMBT-EM-Beach Blanket Emoji 1.5m NEW"|"0000000001"|"0000083.64"
"#34269"|"32614317"|"00000000000000356139"|"201705005300080"|"20170725"|"4"|"RB3A011618"|"BIG MOUTH-BMPFGBG-Ciambellone gonfiabile XXL Orsetto Verde"|"0000000001"|"0000083.64"
"#34250"|"32615317"|"00000000000000355309"|"201705005299211"|"20170725"|"1"|"RB3A020607"|"MIAMI KIDS-XTZ8208-Tutina senza Maniche a 2 Pezzi Squali-12 Mesi"|"0000000001"|"0000026.76"
"#34249"|"32616317"|"00000000000000355289"|"201705005299191"|"20170725"|"1"|"RB3A020695"|"MIAMI KIDS-CC00718-Tutina Intera a Maniche Lunghe I love Milk-24 Mesi"|"0000000001"|"0000033.76"
"#34248"|"32617317"|"00000000000000355299"|"201705005299202"|"20170725"|"1"|"RB3A020671"|"MIAMI KIDS-SKW-105-RED-Tutina Intera a Maniche Corte Barchetta Pesciolino Rosso e Grigio-2 T"|"0000000001"|"0000026.76"
"#34239"|"32618317"|"00000000000000355359"|"201705005299257"|"20170725"|"1"|"RB3A018666"|"LOLLIPOPS AND MORE-2952349927662-Lollipops and More Pacifier Pop Rocks Clip Navajo"|"0000000001"|"0000022.86"
"#34233"|"32619317"|"00000000000000355339"|"201705005299216"|"20170725"|"1"|"RB3A018713"|"COQ EN PATE-L17EACCBOBFL-Coq en Pate Cappellino Fenicottero Rosa-S"|"0000000001"|"0000020.86"
"#34230"|"32620317"|"00000000000000355349"|"201705005299253"|"20170725"|"1"|"RB3A018667"|"LOLLIPOPS AND MORE-2952349927679-Lollipops and More Pacifier Star Dust Clip Pastel Pink"|"0000000001"|"0000022.86"
"#34229"|"32621317"|"00000000000000355999"|"201705005300011"|"20170725"|"1"|"RB3A011815"|"IPANEMA-22433-Sandali Ipanema Summer Baby Grigio 28/29"|"0000000001"|"0000054.64"
"#34229"|"32621317"|"00000000000000355999"|"201705005300011"|"20170725"|"2"|"RB3A008317"|"COQ EN PATE-L15ACCBOBMBZEB-Cappellino Zebra L (4-6 anni)"|"0000000001"|"0000054.64"
"#34229"|"32621317"|"00000000000000355999"|"201705005300011"|"20170725"|"3"|"RB3A011100"|"COQ EN PATE-L16ACCBOBMBELE-Cappellino Elefante L"|"0000000001"|"0000054.64"
"#34229"|"32621317"|"00000000000000355999"|"201705005300011"|"20170725"|"4"|"RB3A008329"|"COQ EN PATE-L13EACCBOBMBBAL-Cappellino Balena L (4-6 anni)"|"0000000001"|"0000054.64"
"#34226"|"32622317"|"00000000000000355549"|"201705005299305"|"20170725"|"1"|"RB3A008321"|"COQ EN PATE-L13EACCBOBMBGIR-Cappellino Giraffa S (6-18 mesi)"|"0000000001"|"0000015.96"
"#34212"|"32623317"|"00000000000000355559"|"201705005299319"|"20170725"|"1"|"RB20012S"|"Duux-DUBP01B-Proiettore per Bambini blu"|"0000000001"|"0000047.76"
"#34132"|"32624317"|"00000000000000356189"|"201705005300022"|"20170725"|"1"|"RB3A011908"|"KANGA CARE-KC-KRRUMPSOS-P126-Pannolino Rumparooz Dragons Fly"|"0000000001"|"0000073.18"
"#34132"|"32624317"|"00000000000000356189"|"201705005300022"|"20170725"|"2"|"RB3A009036"|"TYRRELL KATZ-59TW1-Asciugamano motori"|"0000000001"|"0000073.18"
"#34132"|"32624317"|"00000000000000356189"|"201705005300022"|"20170725"|"3"|"RB3A018959"|"NOPPIES-74346_C074-Noppies Cappello da Sole Rosso con Squali Baby-0-3 Mesi"|"0000000001"|"0000073.18"
"#34017"|"32625317"|"00000000000000355639"|"201705005299443"|"20170725"|"1"|"RB3A019986"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-25"|"0000000001"|"0000021.85"
"#33925"|"32626317"|"00000000000000355599"|"201705005300472"|"20170725"|"1"|"RB3A020842"|"BABYCAR-198p-Mini Coupe Cabrio Rosa"|"0000000001"|"0000210.96"
"#33917"|"32627317"|"00000000000000356219"|"201705005300309"|"20170725"|"1"|"RB3A011121"|"TYRRELL KATZ-13LU2-Lunch Bag Dinosauri"|"0000000001"|"0000064.68"
"#33917"|"32627317"|"00000000000000356219"|"201705005300309"|"20170725"|"2"|"RB3A008918"|"TYRRELL KATZ-Snack Boxes Giungla"|"0000000001"|"0000064.68"
"#33917"|"32627317"|"00000000000000356219"|"201705005300309"|"20170725"|"3"|"RB3A019595"|"BABY ELEPHANT EARS-1026-Baby Elephant Ears Cuscino Ergonomico con Macchinine"|"0000000001"|"0000064.68"
"#33862"|"32628317"|"00000000000000355789"|"201705005299449"|"20170725"|"1"|"RB3A017139"|"NOPPIES-6395701-Reggiseno Allattamento Bianco M-L"|"0000000001"|"0000036.85"
"#33761"|"32629317"|"00000000000000356059"|"201705005300090"|"20170725"|"1"|"RB3A020968"|"KISKISE-KK_SNS604-Seggiolone da Borsetta Blu/Turchese"|"0000000001"|"0000070.78"
"#33761"|"32629317"|"00000000000000356059"|"201705005300090"|"20170725"|"2"|"RB3A021004"|"CUP CATCHER-CC01AQ-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Acqua"|"0000000001"|"0000070.78"
"#33761"|"32629317"|"00000000000000356059"|"201705005300090"|"20170725"|"3"|"RB3A018674"|"NUM NUM-NUM100-Num Num Set 2 Cucchiai"|"0000000001"|"0000070.78"
"#33731"|"32630317"|"00000000000000356099"|"201705005300197"|"20170725"|"1"|"RB3A019883"|"SKIP HOP-252476-Contenitore Lunch KIT - SCIMMIA"|"0000000001"|"0000035.82"
"#33731"|"32630317"|"00000000000000356099"|"201705005300197"|"20170725"|"2"|"RB3A017841"|"TYRRELL KATZ-04SK-Monsters Snack Box"|"0000000001"|"0000035.82"
"#33588"|"32631317"|"00000000000000356209"|"201705005300333"|"20170725"|"1"|"RB3A019874"|"SKIP HOP-252332-Bottiglia da Viaggio con cannuccia-UNICORNO"|"0000000001"|"0000079.00"
"#33588"|"32631317"|"00000000000000356209"|"201705005300333"|"20170725"|"2"|"RB3A008975"|"TYRRELL KATZ-Bicchiere con manici giardino segreto"|"0000000001"|"0000079.00"
"#33588"|"32631317"|"00000000000000356209"|"201705005300333"|"20170725"|"3"|"RB3A019488"|"MAKE MY DAY-BB108-Bavaglia in silicone - Lilac"|"0000000001"|"0000079.00"
"#33588"|"32631317"|"00000000000000356209"|"201705005300333"|"20170725"|"4"|"RB3A017339"|"SMOKO-UNIPIN-Lampada Unicorno Rosa Piccola"|"0000000001"|"0000079.00"
"#33588"|"32631317"|"00000000000000356209"|"201705005300333"|"20170725"|"5"|"RB3A017342"|"SMOKO-DRALIG-Lampada Drago Verde"|"0000000001"|"0000079.00"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"1"|"RB3A019876"|"SKIP HOP-252219-Set Piatto + Ciotola - RICCIO"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"2"|"RB3A020889"|"KG DESIGN-100102-Set 2 Portagelato in Silicone Verde Acqua"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"3"|"RB3A020950"|"KEK AMSTERDAM-MS-008-Sticker da Muro Riccio"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"4"|"RB3A020966"|"KISKISE-KK_SNS602-Seggiolone da Borsetta Rosso"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"5"|"RB3A012516"|"BLOOMINGVILLE-47300003-Piattino Casey bianco e verde"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"6"|"RB3A012517"|"BLOOMINGVILLE-47300004-Piattino Casey verde e bianco"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"7"|"RB3A015684"|"BLOOMINGVILLE-62253522-Grembiule da cucina azzurro"|"0000000001"|"0000129.40"
"#33638"|"32632317"|"00000000000000356119"|"201705005300222"|"20170725"|"8"|"RB3A012519"|"BLOOMINGVILLE-21100637-Set Pappa riccio"|"0000000001"|"0000129.40"
