"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A014454"|"TOBY TIGER-DUCREST-Salopette Rossa con Stelle Bianche 2-3 anni"|"0000000002"|"0000000002"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A014464"|"TOBY TIGER-DUCDINO-Salopette Dinosauri 6-12 mesi"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A014465"|"TOBY TIGER-DUCDINO-Salopette Dinosauri 1-2 anni"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A014533"|"TOBY TIGER-SLAYDUCK-Pigiamino lungo a righe Anatroccoli 3-6 mesi"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A015040"|"TOBY TIGER-LSBGSHEEP-Set di 2 Tutine pigiamino pecorelle 3-6 mesi"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A018971"|"TOBY TIGER-DUCBWHALE-Toby Tiger Salopette Blu Balena-3-6 Mesi"|"0000000002"|"0000000002"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A018996"|"TOBY TIGER-HASURBWHALE-Toby Tiger Cappellino per il Sole Balene-L"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019068"|"TOBY TIGER-SSABFLY-Toby Tiger Maglietta a Maniche Corte Farfalla-4-5 Anni"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019075"|"TOBY TIGER-SSACHICK-Toby Tiger Maglietta a Maniche Corte Gallinella-1-2 Anni"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019085"|"TOBY TIGER-SSAFISH-Toby Tiger Maglietta a Maniche Corte Pesce-1-2 Anni"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019087"|"TOBY TIGER-SSAFISH-Toby Tiger Maglietta a Maniche Corte Pesce-3-4 Anni"|"0000000001"|"0000000001"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019106"|"TOBY TIGER-SSATORT-Toby Tiger Maglietta a Maniche Corte Tartaruga-2-3 Anni"|"0000000003"|"0000000003"
"PO32202"|"2950217"|"20170515"|"20170515"|"PO32202"|"20170505"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A019111"|"TOBY TIGER-TRRBLMLT-Toby Tiger Pantaloni Reversibili Blu-2-3 Anni"|"0000000001"|"0000000001"
"PO32202"|"2951217"|"20170515"|"20170515"|""|"00000000"|"FO20170505_PO32202"|"Toby Tiger"|"RB3A015052"|"TOBY TIGER-LSBGBOLD-Set di 2 Body maniche lunghe a righe rosse e blu con toppe 3-6 mesi"|"0000000000"|"0000000001"
