"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#31319"|"29062317"|"00000000000000316869"|"201705005235745"|"20170609"|"1"|"RB3A019943"|"MIAMI KIDS-S15901A-GREEN-Sneaker Slip on Baby Verde-21"|"0000000002"|"0000047.72"
"#31314"|"29063317"|"00000000000000316939"|"201705005235852"|"20170609"|"1"|"RB3A019963"|"MIAMI KIDS-S15901A-NAVYBLUE-Sneaker Slip on Baby Blu Navy-25"|"0000000001"|"0000026.86"
"#31309"|"29064317"|"00000000000000317039"|"201705005235840"|"20170609"|"1"|"RB3A020806"|"STEPHEN JOSEPH-SJ102729S-Ciabattine Mare Pirata-S"|"0000000001"|"0000018.57"
"#31307"|"29065317"|"00000000000000316139"|"201705005235551"|"20170609"|"1"|"RB3A011638"|"BIG MOUTH-BM1516-Ciambellone gonfiabile XXL Donut alla fragola"|"0000000001"|"0000031.86"
"#31303"|"29066317"|"00000000000000316789"|"201705005235894"|"20170609"|"1"|"RB3A019919"|"MIAMI KIDS-S15901A-PINK-Sneaker Slip on Baby Rosa-21"|"0000000001"|"0000026.86"
"#31297"|"29067317"|"00000000000000315149"|"201705005234383"|"20170609"|"1"|"RB3A009013"|"TYRRELL KATZ-Zainetto Asilo Mini principesse"|"0000000001"|"0000060.82"
"#31297"|"29067317"|"00000000000000315149"|"201705005234383"|"20170609"|"2"|"RB3A009009"|"TYRRELL KATZ-Zainetto Asilo Mini dinosauri"|"0000000001"|"0000060.82"
"#31292"|"29068317"|"00000000000000316129"|"201705005235419"|"20170609"|"1"|"RB3A011636"|"BIG MOUTH-BMBTDO-Telo da mare XXL Ciambella alla Fragola"|"0000000001"|"0000034.86"
"#31279"|"29069317"|"00000000000000316179"|"201705005235427"|"20170609"|"1"|"RB3A011638"|"BIG MOUTH-BM1516-Ciambellone gonfiabile XXL Donut alla fragola"|"0000000001"|"0000066.72"
"#31279"|"29069317"|"00000000000000316179"|"201705005235427"|"20170609"|"2"|"RB3A011631"|"BIG MOUTH-BMPFPS-Materassino gonfiabile XXL Pizza"|"0000000001"|"0000066.72"
"#31270"|"29070317"|"00000000000000316889"|"201705005235881"|"20170609"|"1"|"RB3A019946"|"MIAMI KIDS-S15901A-GREEN-Sneaker Slip on Baby Verde-24"|"0000000001"|"0000026.86"
"#31262"|"29071317"|"00000000000000315539"|"201705005235087"|"20170609"|"1"|"RB3A011131"|"TYRRELL KATZ-81WC1-Trolley Principesse"|"0000000001"|"0000064.16"
"#31253"|"29072317"|"00000000000000315789"|"201705005235216"|"20170609"|"1"|"RB3A011637"|"BIG MOUTH-BMBTPI-Telo da mare XXL Pizza"|"0000000001"|"0000068.68"
"#31253"|"29072317"|"00000000000000315789"|"201705005235216"|"20170609"|"2"|"RB3A017491"|"BOON-B10122A-Cucchiaio Dispenser Per La Pappa Azzurro"|"0000000001"|"0000068.68"
"#31253"|"29072317"|"00000000000000315789"|"201705005235216"|"20170609"|"3"|"RB3A019962"|"MIAMI KIDS-S15901A-NAVYBLUE-Sneaker Slip on Baby Blu Navy-24"|"0000000001"|"0000068.68"
"#31251"|"29073317"|"00000000000000316909"|"201705005235895"|"20170609"|"1"|"RB3A019959"|"MIAMI KIDS-S15901A-NAVYBLUE-Sneaker Slip on Baby Blu Navy-21"|"0000000001"|"0000026.86"
"#31250"|"29074317"|"00000000000000315699"|"201705005236239"|"20170609"|"1"|"RB3A013599"|"BLADEeROSE-5060257460137-Leggings Daisy 6-12m"|"0000000001"|"0000036.31"
"#31250"|"29074317"|"00000000000000315699"|"201705005236239"|"20170609"|"2"|"RB3A018610"|"BOON-B11177-Pulp Mangiafrutta Dentaruolo Arancione e Azzurro"|"0000000001"|"0000036.31"
"#31250"|"29074317"|"00000000000000315699"|"201705005236239"|"20170609"|"3"|"RB3A020797"|"STEPHEN JOSEPH-SJ101125-Borraccia Morbida Farfalla"|"0000000001"|"0000036.31"
"#31249"|"29075317"|"00000000000000316949"|"201705005235731"|"20170609"|"1"|"RB3A019971"|"MIAMI KIDS-S15901A-BLACK-Sneaker Slip on Baby Nero-25"|"0000000002"|"0000047.72"
"#31248"|"29076317"|"00000000000000316819"|"201705005235735"|"20170609"|"1"|"RB3A019953"|"MIAMI KIDS-S15901A-LIGHTBLUE-Sneaker Slip on Baby Azzurro-23"|"0000000001"|"0000047.72"
"#31248"|"29076317"|"00000000000000316819"|"201705005235735"|"20170609"|"2"|"RB3A019937"|"MIAMI KIDS-S15901A-YELLOW-Sneaker Slip on Baby Giallo-23"|"0000000001"|"0000047.72"
"#31240"|"29077317"|"00000000000000316799"|"201705005235888"|"20170609"|"1"|"RB3A019921"|"MIAMI KIDS-S15901A-PINK-Sneaker Slip on Baby Rosa-23"|"0000000001"|"0000026.86"
"#31238"|"29078317"|"00000000000000316829"|"201705005235758"|"20170609"|"1"|"RB3A019937"|"MIAMI KIDS-S15901A-YELLOW-Sneaker Slip on Baby Giallo-23"|"0000000001"|"0000026.86"
"#31155"|"29079317"|"00000000000000317199"|"201705005236067"|"20170609"|"1"|"RB3A020719"|"DRINK IN THE BOX-1908PKPM-Borraccia con Cannuccia Integrata 235 ml Rosa"|"0000000001"|"0000024.82"
"#31155"|"29079317"|"00000000000000317199"|"201705005236067"|"20170609"|"2"|"RB3A020797"|"STEPHEN JOSEPH-SJ101125-Borraccia Morbida Farfalla"|"0000000001"|"0000024.82"
"#31047"|"29080317"|"00000000000000315239"|"201705005234495"|"20170609"|"1"|"RB3A019514"|"DELTA BABY-36001006-Delta Baby Borsa Fasciatoio da Viaggio Grigia"|"0000000001"|"0000090.46"
"#30876"|"29081317"|"00000000000000315259"|"201705005234516"|"20170609"|"1"|"RB3A019515"|"DELTA BABY-36001007-Delta Baby Borsa Fasciatoio da Viaggio Beige"|"0000000001"|"0000090.46"
"#30807"|"29082317"|"00000000000000315229"|"201705005234493"|"20170609"|"1"|"RB3A019514"|"DELTA BABY-36001006-Delta Baby Borsa Fasciatoio da Viaggio Grigia"|"0000000001"|"0000090.46"
"#30699"|"29083317"|"00000000000000315279"|"201705005234977"|"20170609"|"1"|"RB3A009042"|"TYRRELL KATZ-Asciugamano principesse"|"0000000001"|"0000100.18"
"#30699"|"29083317"|"00000000000000315279"|"201705005234977"|"20170609"|"2"|"RB3A019439"|"EFFII-5901832942801-Effii Telo Mare e Tappeto 2 in 1 Grande con Cuori Rosa"|"0000000001"|"0000100.18"
"#30699"|"29083317"|"00000000000000315279"|"201705005234977"|"20170609"|"3"|"RB3A011307"|"KANGA CARE-KC-KRRUMPSOS-P118-Pannolino Rumparooz Destiny"|"0000000001"|"0000100.18"
"#30678"|"29084317"|"00000000000000315249"|"201705005234514"|"20170609"|"1"|"RB3A019515"|"DELTA BABY-36001007-Delta Baby Borsa Fasciatoio da Viaggio Beige"|"0000000001"|"0000090.46"
"#30673"|"29085317"|"00000000000000315479"|""|"20170609"|"1"|"RB3A020741"|"BUMBO-BMB405-Rialzo da Pavimento e Rialzo da Sedia 2 in 1 Rosa"|"0000000001"|"0000079.86"
"#30665"|"29086317"|"00000000000000315299"|""|"20170609"|"1"|"RB3A019523"|"SCOOT AND RIDE-4897033961547-Scoot and Ride Bici/Monopattino 2 in 1 Rosa e Giallo"|"0000000001"|"0000103.12"
"#30665"|"29086317"|"00000000000000315299"|""|"20170609"|"2"|"RB3A020722"|"DRINK IN THE BOX-1912GRPM-Borraccia con Cannuccia Integrata 355 ml Verde"|"0000000001"|"0000103.12"
"#30560"|"29087317"|"00000000000000317119"|"201705005235908"|"20170609"|"1"|"RB3A020725"|"DRINK IN THE BOX-1901BLPM-Snack Box 355 ml Blu"|"0000000001"|"0000031.82"
"#30560"|"29087317"|"00000000000000317119"|"201705005235908"|"20170609"|"2"|"RB3A020717"|"DRINK IN THE BOX-1908BLPM-Borraccia con Cannuccia Integrata 235 ml Blu"|"0000000001"|"0000031.82"
"#30548"|"29088317"|"00000000000000316629"|"201705005235671"|"20170609"|"1"|"RB3A020112"|"IGOR SHOES-S10107-083-Sandali da Spiaggia Tenis Azzurro-24"|"0000000001"|"0000028.85"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"1"|"RB20012Q"|"Duux-DUBP01-Proiettore per Bambini Bianco"|"0000000001"|"0000259.56"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"2"|"RB200001"|"BABY ART-34120021-Kit Impronta Ricordo"|"0000000001"|"0000259.56"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"3"|"RB3A009728"|"HOBEA-4260329475248-Cuscino da allattamento Bianco e Nero con Pecore"|"0000000001"|"0000259.56"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"4"|"RB3A017732"|"BLOOMING BATH-004020-Vasca A Fiore Per Il Bagnetto Gialla"|"0000000001"|"0000259.56"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"5"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000259.56"
"#30538"|"29089317"|"00000000000000317469"|""|"20170609"|"6"|"RB3A014984"|"MINILAND-89143-Baby kit blue"|"0000000001"|"0000259.56"
"#30528"|"29090317"|"00000000000000315589"|"201705005235002"|"20170609"|"1"|"RB3A017489"|"EFFII-5901832944683-Cuscino Allattamento Luna Verde Menta XXL"|"0000000001"|"0000067.16"
"#30528"|"29090317"|"00000000000000315589"|"201705005235002"|"20170609"|"2"|"RB3A019595"|"BABY ELEPHANT EARS-1026-Baby Elephant Ears Cuscino Ergonomico con Macchinine"|"0000000001"|"0000067.16"
"#30520"|"29091317"|"00000000000000317169"|"201705005235955"|"20170609"|"1"|"RB3A020729"|"DRINK IN THE BOX-1908ICE-Panetto di Ghiaccio per Borraccia 235 ml"|"0000000001"|"0000035.61"
"#30520"|"29091317"|"00000000000000317169"|"201705005235955"|"20170609"|"2"|"RB3A020718"|"DRINK IN THE BOX-1908GRPM-Borraccia con Cannuccia Integrata 235 ml Verde"|"0000000001"|"0000035.61"
"#30520"|"29091317"|"00000000000000317169"|"201705005235955"|"20170609"|"3"|"RB3A020726"|"DRINK IN THE BOX-1901GRPM-Snack Box 355 ml Verde"|"0000000001"|"0000035.61"
"#30519"|"29092317"|"00000000000000317179"|"201705005235963"|"20170609"|"1"|"RB3A020721"|"DRINK IN THE BOX-1912BLPM-Borraccia con Cannuccia Integrata 355 ml Blu"|"0000000001"|"0000033.82"
"#30519"|"29092317"|"00000000000000317179"|"201705005235963"|"20170609"|"2"|"RB3A020718"|"DRINK IN THE BOX-1908GRPM-Borraccia con Cannuccia Integrata 235 ml Verde"|"0000000001"|"0000033.82"
"#30504"|"29093317"|"00000000000000317239"|"201705005236233"|"20170609"|"1"|"RB3A020721"|"DRINK IN THE BOX-1912BLPM-Borraccia con Cannuccia Integrata 355 ml Blu"|"0000000001"|"0000034.82"
