"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#28070"|"25733317"|"00000000000000275669"|"201705005159087"|"20170420"|"1"|"RB3A017731"|"BLOOMING BATH-004019-Vasca A Fiore Per Il Bagnetto Fucsia"|"0000000001"|"0000057.70"
"#28055"|"25734317"|"00000000000000275629"|"201705005159076"|"20170420"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000025.86"
"#28046"|"25735317"|"00000000000000275599"|"201705005159213"|"20170420"|"1"|"RB3A015433"|"LITTLE BIRD TOLD ME-LB3052-Dexter Dog Push Along"|"0000000001"|"0000114.49"
"#28039"|"25736317"|"00000000000000274889"|"201705005159315"|"20170420"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000025.86"
"#28018"|"25737317"|"00000000000000275549"|"201705005159181"|"20170420"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#27921"|"25738317"|"00000000000000275049"|"201705005159693"|"20170420"|"1"|"RB3A017755"|"YOOKIDOO-YKD40126-Gymotion Activity PlayLand"|"0000000001"|"0000096.96"
"#27357A"|"25739317"|"00000000000000275319"|"201705005159267"|"20170420"|"1"|"RB3A017355"|"BAGHERA-LPN1933-Macchinina A Pedali Classic Blu"|"0000000001"|"0000194.46"
"#27635"|"25740317"|"00000000000000274929"|"201705005158645"|"20170420"|"1"|"RB3A018963"|"NOPPIES-74346_C140-Noppies Cappello da Sole Blu con Squali Baby-3-6 Mesi"|"0000000001"|"0000039.82"
"#27635"|"25740317"|"00000000000000274929"|"201705005158645"|"20170420"|"2"|"RB3A009820"|"FCTRY-GLSTA24-Occhiali da Sole Baby Azzurri 0-2 anni"|"0000000001"|"0000039.82"
"#27627"|"25741317"|"00000000000000275039"|"201705005159373"|"20170420"|"1"|"RB3A017752"|"YOOKIDOO-YKD40116-Flow 'n' Fill Spout"|"0000000001"|"0000037.76"
"#27531"|"25742317"|"00000000000000275329"|"201705005158553"|"20170420"|"1"|"RB3A017429"|"EFFII-5901832942627-Copertina Double-Face Conigli Grigi e Pois Bianchi"|"0000000001"|"0000037.86"
"#27418"|"25743317"|"00000000000000275309"|"201705005158561"|"20170420"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000102.82"
"#27418"|"25743317"|"00000000000000275309"|"201705005158561"|"20170420"|"2"|"RB3A019439"|"EFFII-5901832942801-Effii Telo Mare e Tappeto 2 in 1 Grande con Cuori Rosa"|"0000000001"|"0000102.82"
"#27418"|"25743317"|"00000000000000275309"|"201705005158561"|"20170420"|"3"|"RB3A017487"|"EFFII-5901832944676-Cuscino Allattamento Luna Cipria XXL"|"0000000001"|"0000102.82"
"#27410"|"25744317"|"00000000000000274959"|"201705005158740"|"20170420"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000065.57"
"#27410"|"25744317"|"00000000000000274959"|"201705005158740"|"20170420"|"2"|"RB3A016477"|"ROCKETBABY-RBP16362-Cesto Passeggino Pecora"|"0000000001"|"0000065.57"
"#27410"|"25744317"|"00000000000000274959"|"201705005158740"|"20170420"|"3"|"RB3A009987"|"CHILDHOME-CCCB20MW-Cesto Contenitore Stella Menta 32x20x20"|"0000000001"|"0000065.57"
"#27410"|"25744317"|"00000000000000274959"|"201705005158740"|"20170420"|"4"|"RB3A017561"|"LILIPUTI-2006001060034-Babbucce Neonato Favola della Foresta S 8-12 mesi"|"0000000001"|"0000065.57"
"#27364"|"25745317"|"00000000000000275159"|"201705005158844"|"20170420"|"1"|"RB3A019435"|"EFFII-5901832946151-Effii Copertina in Cotone Rosa"|"0000000001"|"0000144.56"
"#27364"|"25745317"|"00000000000000275159"|"201705005158844"|"20170420"|"2"|"RB3A010113"|"ELODIE DETAILS-103314-Copertina Bambu Bedouin Stories"|"0000000001"|"0000144.56"
"#27364"|"25745317"|"00000000000000275159"|"201705005158844"|"20170420"|"3"|"RB3A018775"|"NOPPIES-74369-Noppies Maglietta a Maniche Corte a Coriandoli con Cuore in Rilievo Baby-80 cm"|"0000000001"|"0000144.56"
