"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#23542"|"21128317"|"00000000000000225469"|"201705005014419"|"20170113"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000013.85"
"#23541"|"21129317"|"00000000000000225309"|"201705005013030"|"20170113"|"1"|"RB3A014894"|"ROCKETBABY-RBP16336-Scatola Portagiochi Balena"|"0000000001"|"0000031.86"
"#23540"|"21130317"|"00000000000000225399"|"201705005014334"|"20170113"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#23540"|"21130317"|"00000000000000225399"|"201705005014334"|"20170113"|"2"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000034.71"
"#23528"|"21131317"|"00000000000000225429"|"201705005014344"|"20170113"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#23528"|"21131317"|"00000000000000225429"|"201705005014344"|"20170113"|"2"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000034.71"
"#23523"|"21132317"|"00000000000000225439"|"201705005012968"|"20170113"|"1"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000026.86"
"#23514"|"21133317"|"00000000000000225409"|"201705005013217"|"20170113"|"1"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000041.66"
"#23514"|"21133317"|"00000000000000225409"|"201705005013217"|"20170113"|"2"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000002"|"0000041.66"
"#23504"|"21134317"|"00000000000000225279"|"201705005012952"|"20170113"|"1"|"RB3A015277"|"KAISER-6570636-Sacco passeggino Kiwi"|"0000000001"|"0000050.89"
"#23502"|"21135317"|"00000000000000225379"|"201705005013049"|"20170113"|"1"|"RB3A017491"|"BOON-B10122A-Cucchiaio Dispenser Per La Pappa Azzurro"|"0000000001"|"0000016.86"
"#23500"|"21136317"|"00000000000000225489"|"201705005014482"|"20170113"|"1"|"RB3A017494"|"BOON-B11005-Scolaposate e Scola Biberon Slim"|"0000000001"|"0000054.67"
"#23500"|"21136317"|"00000000000000225489"|"201705005014482"|"20170113"|"2"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000054.67"
"#23500"|"21136317"|"00000000000000225489"|"201705005014482"|"20170113"|"3"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000054.67"
"#23492"|"21137317"|"00000000000000225389"|"201705005013063"|"20170113"|"1"|"RB3A015734"|"IIAMO-601-Biberon autoriscaldante da casa bianco e rosa"|"0000000001"|"0000019.86"
"#23491"|"21138317"|"00000000000000225259"|"201705005013185"|"20170113"|"1"|"RB3A016477"|"ROCKETBABY-RBP16362-Cesto Passeggino Pecora"|"0000000001"|"0000036.86"
"#23489"|"21139317"|"00000000000000225449"|"201705005014359"|"20170113"|"1"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000034.71"
"#23489"|"21139317"|"00000000000000225449"|"201705005014359"|"20170113"|"2"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#23487"|"21140317"|"00000000000000225359"|"201705005012977"|"20170113"|"1"|"RB3A017342"|"SMOKO-DRALIG-Lampada Drago Verde"|"0000000001"|"0000024.76"
"#23480"|"21141317"|"00000000000000225479"|"201705005014420"|"20170113"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000001"|"0000013.85"
"#23478"|"21142317"|"00000000000000225419"|"201705005013018"|"20170113"|"1"|"RB3A015738"|"IIAMO-105-Biberon autoriscaldante da viaggio bianco e rosa"|"0000000001"|"0000026.86"
"#23381"|"21143317"|"00000000000000225519"|"201705005014448"|"20170113"|"1"|"RB3A012429"|"TOTSEAT-TOTSBLU-Seggiolone da viaggio compact Blu"|"0000000001"|"0000058.82"
"#23381"|"21143317"|"00000000000000225519"|"201705005014448"|"20170113"|"2"|"RB3A017493"|"BOON-B10124A-Cucchiaio Dispenser Per La Pappa Arancio"|"0000000001"|"0000058.82"
"#23531"|"21144317"|"00000000000000225239"|"201705005013157"|"20170113"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000000.00"
"#23524"|"21145317"|"00000000000000225529"|"201705005014417"|"20170113"|"1"|"RB3A013429"|"ELODIE DETAILS-103504-Sacco Passeggino DOT"|"0000000001"|"0000000.00"
"#23497"|"21146317"|"00000000000000225249"|"201705005013178"|"20170113"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000000.00"
"#23488"|"21147317"|"00000000000000225539"|"201705005014404"|"20170113"|"1"|"RB3A012355"|"CUPCAKE BABIES-CCBBT02-Set Baby Bath 2 in 1 Turchese"|"0000000001"|"0000000.00"
"#23486"|"21148317"|"00000000000000225459"|"201705005014363"|"20170113"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termine per biberon autoriscaldante"|"0000000002"|"0000000.00"
"#23486"|"21148317"|"00000000000000225459"|"201705005014363"|"20170113"|"2"|"RB3A015741"|"IIAMO-108-Biberon autoriscaldante da viaggio bianco e blu"|"0000000001"|"0000000.00"
"#23484"|"21149317"|"00000000000000225499"|"201705005014377"|"20170113"|"1"|"RB3A009734"|"HOBEA-4260329478751-Cuscino da allattamento Elefanti"|"0000000001"|"0000000.00"
"#23477"|"21150317"|"00000000000000225299"|"201705005013036"|"20170113"|"1"|"RB3A014885"|"ROCKETBABY-RBP16348-Sacco Nanna Balena Rosa"|"0000000001"|"0000000.00"
"#23091"|"21151317"|"00000000000000225509"|"201705005014409"|"20170113"|"1"|"RB3A017407"|"BOON-B11013-Termometro da Bagno"|"0000000001"|"0000000.00"
"#23091"|"21151317"|"00000000000000225509"|"201705005014409"|"20170113"|"2"|"RB3A012311"|"EZPZ-MMV-Mini Mat Verde"|"0000000001"|"0000000.00"
"#23536"|"21152317"|"00000000000000225329"|"201705005012998"|"20170113"|"1"|"RB3A008918"|"TYRRELL KATZ-Snack Boxes Giungla"|"0000000001"|"0000000.00"
"#23536"|"21152317"|"00000000000000225329"|"201705005012998"|"20170113"|"2"|"RB3A008979"|"TYRRELL KATZ-Posate Giungla"|"0000000001"|"0000000.00"
"#23536"|"21152317"|"00000000000000225329"|"201705005012998"|"20170113"|"3"|"RB3A011123"|"TYRRELL KATZ-95LU2-Lunch Bag Giungla"|"0000000001"|"0000000.00"
"#23536"|"21152317"|"00000000000000225329"|"201705005012998"|"20170113"|"4"|"RB3A008938"|"TYRRELL KATZ-Ciotola Giungla"|"0000000001"|"0000000.00"
"#23525"|"21153317"|"00000000000000225339"|"201705005013011"|"20170113"|"1"|"RB3A013572"|"BLADEeROSE-5060257465767-Leggings Crazy Cat 6-12m"|"0000000001"|"0000000.00"
"#23525"|"21153317"|"00000000000000225339"|"201705005013011"|"20170113"|"2"|"RB3A013662"|"BLADEeROSE-5060257466726-Top Pow! (Girls Superhero) 6-9m"|"0000000001"|"0000000.00"
"#23525"|"21153317"|"00000000000000225339"|"201705005013011"|"20170113"|"3"|"RB3A013812"|"BLADEeROSE-5060257465965-Leggings Pow! (Supergirl) 6-12m"|"0000000001"|"0000000.00"
"#23510"|"21154317"|"00000000000000225349"|"201705005012984"|"20170113"|"1"|"RB3A014890"|"ROCKETBABY-RBP16332-Cesto Portagiochi Elefante"|"0000000001"|"0000000.00"
"#23505"|"21155317"|"00000000000000225289"|"201705005012953"|"20170113"|"1"|"RB3A015277"|"KAISER-6570636-Sacco passeggino Kiwi"|"0000000001"|"0000000.00"
"#23490"|"21156317"|"00000000000000225319"|"201705005013132"|"20170113"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000000.00"
"#23490"|"21156317"|"00000000000000225319"|"201705005013132"|"20170113"|"2"|"RB20012T"|"Duux-DUBP02-Proiettore per Bambini Bluetooth"|"0000000001"|"0000000.00"
"#23475"|"21157317"|"00000000000000225369"|"201705005013056"|"20170113"|"1"|"RB2000Z8"|"Play e go-ZIGZAG_RED-Sacco Portagiochi a Zigzag Bianco e Rosso"|"0000000001"|"0000000.00"
"#22422"|"21158317"|"00000000000000225269"|"201705005013073"|"20170113"|"3"|"RB3A012311"|"EZPZ-MMV-Mini Mat Verde"|"0000000001"|"0000000.00"
