"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000512"|"20170714"|"#33684"|"20170713"|"0000000001"|"RB3A020222"|"NOPPIES-67355_C166-Body a Maniche Corte a Righe con Quadrifoglio Navy-44"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33684"|"20170713"|"0000000002"|"RB3A020174"|"NOPPIES-74105_C011-Body a Maniche Corte Amazing Bianco-44"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33699"|"20170713"|"0000000001"|"RBGIFT30"|"RocketBaby-GiftCard da 30�"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33719"|"20170713"|"0000000001"|"RB3A019983"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-22"|"0000000002"|"0000000000"
"0000000512"|"20170714"|"#33693"|"20170713"|"0000000001"|"RB3A008454"|"BEATRIX NY-BEA0003.PA-Zaino piccolo Gufo Papar"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33671"|"20170713"|"0000000001"|"RB3A009387"|"ELODIE DETAILS-103142-Cordoncino Ciuccio - Moon Baloon"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33695"|"20170713"|"0000000001"|"RB3A019986"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-25"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33739"|"20170713"|"0000000002"|"RB3A021008"|"MOUTHIE MITTEN-MM05P-EU-Guantino Massaggia Gengive per la Dentizione Rosa"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33739"|"20170713"|"0000000001"|"RB3A019023"|"TOBY TIGER-HASUREPOPFL-Toby Tiger Cappellino per il Sole Fiori Pop-XS"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33431A"|"20170713"|"0000000001"|"RB3A017481"|"EFFII-5901832940906-Cuscino Allattamento Luna Bianco XXL"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#32303A"|"20170713"|"0000000002"|"RB3A018197"|"ELODIE DETAILS-103786-MATERASSINO DA PASSEGGINO POWDER PINK"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#32303A"|"20170713"|"0000000001"|"RB3A018147"|"ELODIE DETAILS-103150-CORDINO CIUCCIO POWDER PINK"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33597"|"20170712"|"0000000001"|"RB3A020853"|"BELTA BIOS-ECO-BEL45278-Acqua Profumata Baby"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33597"|"20170712"|"0000000002"|"RB3A020264"|"DAIKOS-SQD217TU10-Pinna da Squalo Nera"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33603"|"20170712"|"0000000001"|"RB3A017520"|"LILIPUTI-2006002020112-Marsupio Rainbow Line Elegance"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33606"|"20170712"|"0000000001"|"RB3A020144"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-24"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33616"|"20170712"|"0000000001"|"RB3A021005"|"CUP CATCHER-CC08CL-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Corallo"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33646"|"20170712"|"0000000001"|"RB3A013040"|"BAMBOOM-104-900-009-GIOCHI SQUARE CUORE Decoration Pillow VERDE BOTTIGLIA"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33600"|"20170712"|"0000000002"|"RB3A020161"|"IGOR SHOES-S10107-188-Sandali da Spiaggia Tenis Acquamarina-25"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33600"|"20170712"|"0000000001"|"RB3A020113"|"IGOR SHOES-S10107-083-Sandali da Spiaggia Tenis Azzurro-25"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33605"|"20170712"|"0000000001"|"RB3A010035"|"CHILDHOME-CWRHW-Cavallo a Dondolo Bianco"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33530"|"20170711"|"0000000001"|"RB3A020979"|"MAGIC BED-MB070-02-Mini MagicBed ARTIC BLUE"|"0000000001"|"0000000000"
"0000000512"|"20170714"|"#33538"|"20170711"|"0000000002"|"RB3A020142"|"IGOR SHOES-S10107-094-Sandali da Spiaggia Tenis Verde Pistacchio-22"|"0000000001"|"0000000000"
