"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#27027"|"24795317"|"00000000000000264689"|"201705005137000"|"20170331"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#27027"|"24795317"|"00000000000000264689"|"201705005137000"|"20170331"|"2"|"RB3A015738"|"IIAMO-105-Biberon Go bianco e rosa"|"0000000001"|"0000034.71"
"#27024"|"24796317"|"00000000000000264879"|"201705005137100"|"20170331"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#27007"|"24797317"|"00000000000000264789"|"201705005136785"|"20170331"|"1"|"RB3A009884"|"A LITTLE LOVELY COMPANY-LTBX001-Box Lampada A5 per scritte"|"0000000001"|"0000030.76"
"#26992"|"24798317"|"00000000000000264819"|"201705005136814"|"20170331"|"1"|"RB3A011304"|"KANGA CARE-KC-KRRUMPSOS-P116-Pannolino Rumparooz Bonnie"|"0000000001"|"0000038.86"
"#26983"|"24799317"|"00000000000000264869"|"201705005136753"|"20170331"|"1"|"RB3A014893"|"ROCKETBABY-RBP16335-Scatola Portagiochi Leone"|"0000000001"|"0000031.86"
"#26981"|"24800317"|"00000000000000264799"|"201705005137075"|"20170331"|"1"|"RB3A010389"|"BABYCAR-500N-MERCEDES S 63 AMG NERA"|"0000000001"|"0000291.96"
"#26980"|"24801317"|"00000000000000264549"|"201705005137014"|"20170331"|"1"|"RB3A015770"|"FCTRY-GLSTA39-Occhiali da sole Polarizzati Baby Tartaruga 3-6 anni"|"0000000001"|"0000053.82"
"#26980"|"24801317"|"00000000000000264549"|"201705005137014"|"20170331"|"2"|"RB3A009817"|"FCTRY-GLSTA21-Occhiali da Sole Baby Neri 0-2 anni"|"0000000001"|"0000053.82"
"#26849"|"24802317"|"00000000000000264509"|"201705005136890"|"20170331"|"1"|"RB3A007848"|"LIMOBASICS-09509R_AZM_50-56-Culotte Blu Navy Azm"|"0000000001"|"0000053.64"
"#26849"|"24802317"|"00000000000000264509"|"201705005136890"|"20170331"|"2"|"RB3A017779"|"YOOKIDOO-YKD40140-Balloon e Parrot Rattle"|"0000000001"|"0000053.64"
"#26849"|"24802317"|"00000000000000264509"|"201705005136890"|"20170331"|"3"|"RB3A007887"|"LIMOBASICS-09509R_BLN_50-56-Culotte Bianco Bln"|"0000000001"|"0000053.64"
"#26849"|"24802317"|"00000000000000264509"|"201705005136890"|"20170331"|"4"|"RB3A007884"|"LIMOBASICS-09509R_GRI_50-56-Culotte Grigio Chiaro Gri"|"0000000001"|"0000053.64"
